number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,params_fastk_period,params_lower_KDJ,params_slowd_matype,params_slowd_period,params_slowk_matype,params_slowk_period,params_upper_KDJ,system_attrs_nsga2:generation,state
25,-0.6474138085936515,-0.19394022088533044,-0.04590405699410297,2023-11-29 20:39:00.423182,2023-11-29 20:39:00.682801,0 days 00:00:00.259619,2,1.6744494838246116,33,EMA,1.5888161096969047,11,6,13,1,5,0,3,76,0,COMPLETE
26,-0.04286651588127325,-0.06837706742675358,-0.17734648629853056,2023-11-29 20:39:00.683802,2023-11-29 20:39:00.959689,0 days 00:00:00.275887,2,1.3093187456444002,53,SMA,2.9055062967502936,55,18,13,2,5,1,3,73,0,COMPLETE
27,0.5240584663941598,0.23828925821354816,0.9382878898625006,2023-11-29 20:39:00.960654,2023-11-29 20:39:01.261437,0 days 00:00:00.300783,2,1.1570873461038993,22,SMA,2.6853282202082984,25,18,28,1,4,2,3,87,0,COMPLETE
28,0.08470945380845214,-0.006479589249058335,-0.013912183914848839,2023-11-29 20:39:01.261437,2023-11-29 20:39:01.608696,0 days 00:00:00.347259,2,1.8008242751303907,38,EMA,2.929983994286362,43,15,15,2,3,2,3,74,0,COMPLETE
29,,,,2023-11-29 20:39:01.609701,2023-11-29 20:39:01.898775,0 days 00:00:00.289074,0,2.2462517592827265,58,WMA,1.4814291538163233,38,9,14,1,4,1,4,70,0,FAIL
30,,,,2023-11-29 20:39:01.900315,2023-11-29 20:39:02.186452,0 days 00:00:00.286137,0,2.409787293737441,29,EMA,1.4125529642516335,54,14,21,1,4,2,4,70,0,FAIL
31,,,,2023-11-29 20:39:02.187484,2023-11-29 20:39:02.445639,0 days 00:00:00.258155,2,2.8276272681822165,34,WMA,1.2045633396245792,44,15,15,1,5,2,3,73,0,FAIL
32,,,,2023-11-29 20:39:02.446636,2023-11-29 20:39:02.708649,0 days 00:00:00.262013,0,2.8265278593228853,32,SMA,1.7606696005751865,43,15,15,1,4,0,4,85,0,FAIL
33,,,,2023-11-29 20:39:02.709701,2023-11-29 20:39:02.981999,0 days 00:00:00.272298,2,2.599631304595407,51,WMA,1.1646960079049375,21,11,11,0,4,2,3,90,0,FAIL
34,,,,2023-11-29 20:39:02.983961,2023-11-29 20:39:03.240580,0 days 00:00:00.256619,1,2.970796492750986,40,WMA,2.979524709797955,31,16,16,0,4,0,3,85,0,FAIL
