number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
28,0.2958166729900837,0.1905889837187844,0.17826643242994122,2023-11-29 20:11:36.533151,2023-11-29 20:11:37.024893,0 days 00:00:00.491742,2,1.0772601105294752,38,SMA,2.6985784636506103,23,0,COMPLETE
29,-0.4608640556527267,-0.2337305341935468,-0.4150198575725244,2023-11-29 20:11:37.025922,2023-11-29 20:11:37.694186,0 days 00:00:00.668264,0,2.7908289056991653,21,EMA,2.014964940661023,48,0,COMPLETE
30,,,,2023-11-29 20:11:37.695141,2023-11-29 20:11:37.789427,0 days 00:00:00.094286,1,2.058373641858207,60,WMA,1.1962825088309743,24,0,FAIL
31,0.654690604806441,0.40833308467022195,1.2799468567934746,2023-11-29 20:11:37.790429,2023-11-29 20:11:38.342137,0 days 00:00:00.551708,0,1.8059814757621555,16,WMA,1.4212270555010307,52,0,COMPLETE
32,0.2963687193672602,0.15226876111940568,0.24236784481795667,2023-11-29 20:11:38.343130,2023-11-29 20:11:38.862825,0 days 00:00:00.519695,2,1.295768501999682,58,EMA,2.8894693613418445,57,0,COMPLETE
33,0.9592285604214129,0.8074614165199563,2.27565187413248,2023-11-29 20:11:38.862825,2023-11-29 20:11:39.444481,0 days 00:00:00.581656,1,1.8833387247604287,23,WMA,1.4685158940992906,51,0,COMPLETE
34,,,,2023-11-29 20:11:39.445478,2023-11-29 20:11:39.547308,0 days 00:00:00.101830,0,2.161331150339405,57,EMA,1.2573739138502875,13,0,FAIL
35,0.5818458664534693,0.31830576978810976,1.182133218367239,2023-11-29 20:11:39.549302,2023-11-29 20:11:39.930275,0 days 00:00:00.380973,1,1.7334809145695529,28,SMA,1.1265247796843285,24,0,COMPLETE
36,-0.4418695437029964,-0.20854436972816806,-0.46955743321427845,2023-11-29 20:11:39.931273,2023-11-29 20:11:40.438684,0 days 00:00:00.507411,2,1.011591742498402,25,EMA,1.8539014265072697,24,0,COMPLETE
37,0.028143460413868324,-0.03767442707506809,-0.10133094771036583,2023-11-29 20:11:40.439681,2023-11-29 20:11:41.029132,0 days 00:00:00.589451,2,1.4592095250845367,51,WMA,2.655866429200244,52,0,COMPLETE
38,-0.2443151837345108,-0.23078942081791307,-0.5459596547271148,2023-11-29 20:11:41.030097,2023-11-29 20:11:41.722956,0 days 00:00:00.692859,0,2.8983064706834636,14,WMA,1.6218551537028447,52,0,COMPLETE
39,,,,2023-11-29 20:11:41.723952,2023-11-29 20:11:42.283589,0 days 00:00:00.559637,0,2.7832565470566744,52,SMA,2.4417514902630764,17,0,FAIL
40,,,,2023-11-29 20:11:42.285585,2023-11-29 20:11:42.426174,0 days 00:00:00.140589,0,1.7900994854530166,40,SMA,1.1144794159153508,23,0,FAIL
41,,,,2023-11-29 20:11:42.427180,2023-11-29 20:11:42.564899,0 days 00:00:00.137719,0,2.4550372415782613,43,EMA,1.217981515459155,52,0,FAIL
42,0.6581785986857445,0.54563056731158,1.2940331664884934,2023-11-29 20:11:42.569350,2023-11-29 20:11:43.280524,0 days 00:00:00.711174,0,2.1008444004907907,31,EMA,2.668157948138396,35,0,COMPLETE
43,0.5645882066867559,0.35235612452897874,0.7349192317507235,2023-11-29 20:11:43.283046,2023-11-29 20:11:43.951108,0 days 00:00:00.668062,0,1.7725691550278173,37,EMA,2.0089513560920844,57,0,COMPLETE
44,0.2774720335269686,0.06998886341182947,0.18116110783345235,2023-11-29 20:11:43.954195,2023-11-29 20:11:44.766103,0 days 00:00:00.811908,1,1.9418693743491882,12,WMA,1.7223010809529486,24,0,COMPLETE
45,0.3986339697171609,0.229043456976193,0.46875207378152395,2023-11-29 20:11:44.768144,2023-11-29 20:11:45.469566,0 days 00:00:00.701422,2,1.4622645671961683,27,EMA,1.898667979799285,29,0,COMPLETE
