uid,from_uid,sharpe_ratio,profit factor,calmar_ratio,win rate,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s
22,,3.846748893893057,2.296479504068225,16.300696869677896,40.909090909090914,2.8834745634020846,56,8,124
56,,3.870975491898643,2.3200049634527296,15.786799825347426,44.680851063829785,2.609381161469427,52,8,112
78,,3.664151229635536,2.1744904876155053,14.161202097857634,41.30434782608695,2.659394486726276,52,8,124
84,,3.846748893893057,2.296479504068225,16.300696869677896,40.909090909090914,2.8834745634020846,56,8,124
112,,2.920474294243952,1.9238169329572048,10.002723924466537,42.5,2.8373466755769097,68,8,124
161,,3.102183754310764,1.87748255081752,10.7726109807757,50,2.8834745634020846,68,8,92
186,,3.1641961687469684,2.071466655362306,11.976881405984534,42.5,2.8834745634020846,68,8,120
252,,3.3368433619513955,1.8089138616348328,7.864325469929725,41.07142857142857,2.467182800438116,48,8,72
259,,4.139867762670225,2.2419870055773434,20.70423912342852,44.89795918367347,2.8834745634020846,52,8,80
277,,4.107586522387708,2.399078710452528,21.75661655326159,44.89795918367347,2.467182800438116,48,8,120
293,,3.754932143629266,1.9500427835952625,14.07270165432552,44.44444444444444,2.522531210933751,48,8,92
302,,4.07599297633578,2.457817763479917,17.169470521357006,41.46341463414634,2.5338040278789333,60,8,124
310,,3.714362418173454,2.1977584465184594,17.17608724554244,45.83333333333333,2.467182800438116,48,8,144
320,,4.777982748313889,2.679884217164555,31.57836849419224,48.837209302325576,2.5338040278789333,60,8,88
324,,4.315483192703588,2.307513996150154,24.60822536244229,48.97959183673469,2.8834745634020846,52,8,92
325,,3.184803925045403,1.845784915370424,7.341837970403419,41.30434782608695,2.467182800438116,64,8,72
333,,3.957045859978078,2.307754763963072,17.44999323100808,46.93877551020408,2.831561143514828,48,8,132
344,,3.951301800143512,2.151309171842364,13.24231226218231,41.66666666666667,2.645059715201972,56,8,72
355,,4.07929510566934,2.954813465672177,20.515475482822996,47.368421052631575,2.904835355710745,60,8,152
359,,3.733044485735822,2.231344913830244,13.864678474763693,44.680851063829785,2.9528480986368244,52,8,132
364,,4.319890753658134,2.3202739231745606,27.89411163573424,47.82608695652174,2.652695926980966,56,8,88
374,,3.684110606172004,1.9712728308454852,9.299736226665534,47.16981132075472,2.467182800438116,48,8,68
388,,3.733044485735822,2.231344913830244,13.864678474763693,44.680851063829785,2.8834745634020846,52,8,132
389,,4.139867762670225,2.2419870055773434,20.70423912342852,44.89795918367347,2.8834745634020846,52,8,80
406,,4.315483192703588,2.307513996150154,24.60822536244229,48.97959183673469,2.8834745634020846,52,8,92
413,,3.1063715316736062,1.840615930883584,8.599433173979165,43.18181818181818,2.467182800438116,64,8,84
432,,4.669212106905802,2.775446694161807,21.71226035896857,48.837209302325576,2.8306414474751,60,8,104
437,,3.646091009111281,2.616290789118392,16.25875168720506,43.24324324324324,2.467182800438116,64,8,152
444,,4.107586522387708,2.399078710452528,21.75661655326159,44.89795918367347,2.467182800438116,48,8,120
449,,2.194686609435634,1.55449302523975,5.034001185207238,42.85714285714285,2.5338040278789333,68,8,84
451,,4.241341798608829,2.5023755480049283,23.9051780739458,46.93877551020408,2.467182800438116,48,8,112
457,,3.754932143629266,1.9500427835952625,14.07270165432552,44.44444444444444,2.819199508157032,48,8,92
471,,4.21603713366045,2.234087290466918,22.57437419321641,45.45454545454545,2.467182800438116,48,8,84
475,,4.319890753658134,2.3202739231745606,27.89411163573424,47.82608695652174,2.652695926980966,56,8,88
