uid,from_uid,value,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window
226,,3.5217548734356514,60,4,40,72,72
227,,3.800184065590285,64,8,40,96,68
228,,3.858532364360927,56,4,36,96,68
229,,2.5076069827244343,60,4,40,96,72
230,,3.858532364360927,56,4,36,96,68
231,,4.163536611444732,60,4,36,96,68
232,,4.163536611444732,60,4,36,96,68
233,,3.854530518137477,60,4,40,96,64
234,,4.163536611444732,60,4,36,96,68
235,,3.7965564963625775,64,4,40,96,68
236,,3.960568200396024,60,8,36,96,68
237,,3.5217548734356514,60,4,40,72,72
238,,3.989507924528129,56,4,40,96,68
239,,3.8276235858211582,60,8,36,96,64
241,,4.163536611444732,60,4,36,96,68
242,,4.163536611444732,60,4,36,96,68
243,,4.163536611444732,60,4,36,96,68
244,,3.989507924528129,56,4,40,96,68
245,,4.163536611444732,60,4,36,96,68
246,,4.221658099255148,60,4,40,96,68
247,,2.5406346642971043,64,4,40,96,72
248,,3.749256020519951,56,8,40,96,68
249,,3.854530518137477,60,4,40,96,64
250,,2.950840438609172,56,8,40,72,68
251,,3.854530518137477,60,4,40,96,64
252,,2.5076069827244343,60,4,40,96,72
253,,3.7312049941605303,64,4,36,96,68
255,,3.8276235858211582,60,8,36,96,64
256,,3.7312049941605303,64,4,36,96,68
257,,2.5076069827244343,60,4,40,96,72
258,,3.749256020519951,56,8,40,96,68
260,,3.854530518137477,60,4,40,96,64
261,,3.4461241122440343,60,8,40,72,72
262,,2.567632342248128,56,4,32,96,68
263,,4.383801129048291,60,4,36,120,68
264,,3.563561078070884,44,4,40,120,72
265,,3.841938964080676,56,8,36,120,68
266,,4.057901658315853,64,4,40,120,64
267,,4.383801129048291,60,4,36,120,68
268,,4.4322972054347805,64,4,40,120,68
269,,3.711948302506385,64,8,40,120,72
270,,4.057901658315853,64,4,40,120,64
271,,4.0135191330815445,64,8,40,120,68
272,,4.2639727766994255,56,4,40,120,68
273,,3.703760501858586,56,4,40,120,64
274,,4.2639727766994255,56,4,40,120,68
275,,4.191888318477915,52,4,40,120,68
276,,3.3753506614867885,56,8,40,120,72
277,,4.2639727766994255,56,4,40,120,68
278,,2.5343569309566605,56,4,40,120,52
279,,3.817113158148107,52,4,40,120,64
283,,4.2639727766994255,56,4,40,120,68
284,,3.617953861569354,56,4,36,120,64
286,,3.6909929264760586,56,4,36,120,72
287,,3.768702794390562,56,8,40,120,68
288,,4.06191672478768,56,4,44,120,68
289,,4.226843655618496,56,4,36,120,68
290,,2.891502468723346,52,4,32,120,68
292,,2.711042307378856,56,4,36,120,28
294,,3.9567373667539374,48,4,36,120,68
295,,3.841938964080676,56,8,36,120,68
296,,3.703760501858586,56,4,40,120,64
297,,4.207154413782598,52,4,36,120,68
298,,3.7681612993198,56,4,40,120,72
299,,3.0016953117718908,56,8,40,144,68
300,,3.634234836016734,52,4,44,120,64
301,,3.6909929264760586,56,4,36,120,72
303,,2.901294041786896,56,4,32,120,68
305,,4.383801129048291,60,4,36,120,68
306,,3.6909929264760586,56,4,36,120,72
307,,3.9608739174823087,64,8,36,120,68
308,,2.6526117230985675,60,4,36,144,68
