number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
142,3.2995266772669747,3.7881113173174388,24.798731935053905,48.717948717948715,2023-12-06 10:27:36.595185,2023-12-06 10:27:36.790510,0 days 00:00:00.195325,48,20,108,2,COMPLETE
143,2.4667919800081237,2.265558347534681,17.576634526289943,41.86046511627907,2023-12-06 10:27:36.791230,2023-12-06 10:27:36.982533,0 days 00:00:00.191303,36,28,156,2,COMPLETE
144,-1.1345452256609285,0.6698272765260943,-1.628307953077958,28.57142857142857,2023-12-06 10:27:36.983188,2023-12-06 10:27:37.175351,0 days 00:00:00.192163,8,44,28,2,COMPLETE
145,2.5101213814252645,2.818416185071558,13.639106183214912,37.5,2023-12-06 10:27:37.176048,2023-12-06 10:27:37.372635,0 days 00:00:00.196587,44,36,108,2,COMPLETE
146,2.227301870065646,2.25664952454501,6.622994269665026,50.0,2023-12-06 10:27:37.373531,2023-12-06 10:27:37.569741,0 days 00:00:00.196210,48,20,216,2,COMPLETE
147,2.3962486486838763,2.6113835837293355,12.187220105420327,47.368421052631575,2023-12-06 10:27:37.570699,2023-12-06 10:27:37.768524,0 days 00:00:00.197825,44,36,164,2,COMPLETE
148,-1.360147299174134,0.602807584465231,-1.5199634943139375,23.076923076923077,2023-12-06 10:27:37.769214,2023-12-06 10:27:37.964060,0 days 00:00:00.194846,8,72,32,2,COMPLETE
149,2.1002421251945176,2.431477453249497,9.013140264728214,33.33333333333333,2023-12-06 10:27:37.964868,2023-12-06 10:27:38.161319,0 days 00:00:00.196451,48,52,84,2,COMPLETE
150,2.2852595386789023,2.2471956295323405,9.81440002575411,40.0,2023-12-06 10:27:38.162253,2023-12-06 10:27:38.357311,0 days 00:00:00.195058,36,72,144,2,COMPLETE
151,2.9086152391767084,2.9140738037835874,25.940939414161015,45.45454545454545,2023-12-06 10:27:38.357971,2023-12-06 10:27:38.550586,0 days 00:00:00.192615,52,12,140,2,COMPLETE
152,-1.498477605256792,0.6013560120495185,-2.2787650086972233,29.411764705882355,2023-12-06 10:27:38.551301,2023-12-06 10:27:38.742968,0 days 00:00:00.191667,52,52,36,2,COMPLETE
153,-0.9770302311724299,0.5815231327155218,-1.7027071521640746,20.689655172413794,2023-12-06 10:27:38.743650,2023-12-06 10:27:38.938647,0 days 00:00:00.194997,52,48,20,2,COMPLETE
154,1.2785197207536112,1.2767230635585098,2.927221083785551,33.33333333333333,2023-12-06 10:27:38.939398,2023-12-06 10:27:39.142833,0 days 00:00:00.203435,20,56,156,2,COMPLETE
155,2.072074053421754,2.5835310172448818,7.096836115245827,27.27272727272727,2023-12-06 10:27:39.143568,2023-12-06 10:27:39.362829,0 days 00:00:00.219261,56,60,140,3,COMPLETE
156,,,,,2023-12-06 10:27:39.363606,2023-12-06 10:27:39.555116,0 days 00:00:00.191510,4,68,188,3,FAIL
157,3.486875548260765,4.482003957603129,24.292665334776657,33.33333333333333,2023-12-06 10:27:39.556132,2023-12-06 10:27:39.744706,0 days 00:00:00.188574,8,68,112,3,COMPLETE
158,2.5045777537946226,2.5132649531721483,15.242107777215807,39.473684210526315,2023-12-06 10:27:39.745358,2023-12-06 10:27:39.935046,0 days 00:00:00.189688,36,40,184,3,COMPLETE
159,2.5862231334347645,2.8267662690178885,11.048972245711456,38.70967741935484,2023-12-06 10:27:39.935756,2023-12-06 10:27:40.281030,0 days 00:00:00.345274,44,68,192,3,COMPLETE
160,1.8781308842492266,2.0630115787057854,5.105962307541944,50.0,2023-12-06 10:27:40.281990,2023-12-06 10:27:40.479844,0 days 00:00:00.197854,48,24,216,3,COMPLETE
161,2.772710690833245,2.0691901323237225,17.08060691531361,32.608695652173914,2023-12-06 10:27:40.480631,2023-12-06 10:27:40.678876,0 days 00:00:00.198245,24,36,140,3,COMPLETE
162,0.9167527905992763,1.2064882422534042,1.6620810267589181,29.09090909090909,2023-12-06 10:27:40.679565,2023-12-06 10:27:40.871723,0 days 00:00:00.192158,28,40,8,3,COMPLETE
163,2.9165882962692686,3.7814411767352447,17.26482884842769,41.935483870967744,2023-12-06 10:27:40.872366,2023-12-06 10:27:41.065552,0 days 00:00:00.193186,48,36,116,3,COMPLETE
164,2.678507819181644,2.4776851770416797,13.40026040535252,41.02564102564102,2023-12-06 10:27:41.066211,2023-12-06 10:27:41.255646,0 days 00:00:00.189435,36,68,152,3,COMPLETE
165,2.6144915295968705,2.4263258525546307,19.172799656558606,43.75,2023-12-06 10:27:41.256397,2023-12-06 10:27:41.450350,0 days 00:00:00.193953,32,20,164,3,COMPLETE
166,2.722450299961424,3.267551261062596,11.008776555938379,37.5,2023-12-06 10:27:41.451098,2023-12-06 10:27:41.644861,0 days 00:00:00.193763,44,52,204,3,COMPLETE
167,1.5379293434836525,1.769971592951832,4.632363205144456,38.70967741935484,2023-12-06 10:27:41.645545,2023-12-06 10:27:41.839412,0 days 00:00:00.193867,72,68,60,3,COMPLETE
168,2.0218762935708803,1.6471559086581018,9.351778965463133,38.46153846153847,2023-12-06 10:27:41.840128,2023-12-06 10:27:42.032591,0 days 00:00:00.192463,16,36,208,3,COMPLETE
169,2.9086152391767084,2.9140738037835874,25.940939414161015,45.45454545454545,2023-12-06 10:27:42.033261,2023-12-06 10:27:42.229949,0 days 00:00:00.196688,52,12,140,3,COMPLETE
170,2.522380185137583,3.0100652089654796,14.624918644037368,40.625,2023-12-06 10:27:42.230624,2023-12-06 10:27:42.428923,0 days 00:00:00.198299,48,40,100,3,COMPLETE
171,2.435604580361824,3.0121343685778688,9.355583632405555,26.923076923076923,2023-12-06 10:27:42.429766,2023-12-06 10:27:42.628175,0 days 00:00:00.198409,52,52,140,3,COMPLETE
172,2.4466483534741186,3.4702127782104677,12.363638938023595,32.142857142857146,2023-12-06 10:27:42.628963,2023-12-06 10:27:42.826730,0 days 00:00:00.197767,72,68,164,3,COMPLETE
173,2.518728580635775,2.9013485393930414,12.483749104318843,44.44444444444444,2023-12-06 10:27:42.827609,2023-12-06 10:27:43.031900,0 days 00:00:00.204291,72,28,164,3,COMPLETE
174,2.4990882114983815,2.55709516849501,16.161135012305444,47.5,2023-12-06 10:27:43.034025,2023-12-06 10:27:43.243990,0 days 00:00:00.209965,36,36,168,3,COMPLETE
175,3.111135204637919,3.584839203483573,19.568934413934898,37.5,2023-12-06 10:27:43.244791,2023-12-06 10:27:43.440038,0 days 00:00:00.195247,8,40,112,3,COMPLETE
176,1.7889671306453967,1.543088903246991,8.364467002152317,41.46341463414634,2023-12-06 10:27:43.440873,2023-12-06 10:27:43.631739,0 days 00:00:00.190866,32,52,76,3,COMPLETE
177,1.9021768530969088,1.8436978363784877,6.172186949706937,40.909090909090914,2023-12-06 10:27:43.632401,2023-12-06 10:27:43.826238,0 days 00:00:00.193837,40,4,188,3,COMPLETE
178,3.1980606441105204,4.4315463070652275,20.058566608357182,40.625,2023-12-06 10:27:43.827036,2023-12-06 10:27:44.017953,0 days 00:00:00.190917,8,20,200,3,COMPLETE
179,2.356305386040641,2.2072931898939263,8.47229560588192,42.5,2023-12-06 10:27:44.018738,2023-12-06 10:27:44.212522,0 days 00:00:00.193784,48,8,216,3,COMPLETE
180,2.1928289354822903,2.5592600041295013,10.228972091722396,36.666666666666664,2023-12-06 10:27:44.213233,2023-12-06 10:27:44.406741,0 days 00:00:00.193508,72,40,140,3,COMPLETE
181,2.8077575608862477,3.667996505986156,12.761814811119322,38.70967741935484,2023-12-06 10:27:44.407434,2023-12-06 10:27:44.601384,0 days 00:00:00.193950,48,52,204,3,COMPLETE
182,2.227301870065646,2.25664952454501,6.622994269665026,50.0,2023-12-06 10:27:44.602172,2023-12-06 10:27:44.797379,0 days 00:00:00.195207,48,20,216,3,COMPLETE
183,3.039998878998498,3.6112213743789057,18.45100933304392,34.375,2023-12-06 10:27:44.798073,2023-12-06 10:27:44.992616,0 days 00:00:00.194543,8,60,112,3,COMPLETE
184,2.1045542711806977,2.045640283724961,6.84315822453336,45.23809523809524,2023-12-06 10:27:44.993317,2023-12-06 10:27:45.184415,0 days 00:00:00.191098,52,12,192,3,COMPLETE
185,3.102255543852875,3.380535639717314,23.91195259516805,38.88888888888889,2023-12-06 10:27:45.185074,2023-12-06 10:27:45.377570,0 days 00:00:00.192496,8,12,164,3,COMPLETE
186,3.197499955958092,3.0302426819860857,25.93351151842614,43.47826086956522,2023-12-06 10:27:45.378288,2023-12-06 10:27:45.572247,0 days 00:00:00.193959,52,12,84,3,COMPLETE
187,2.984499649045615,2.232738530587799,24.243606046310713,40.625,2023-12-06 10:27:45.572945,2023-12-06 10:27:45.773056,0 days 00:00:00.200111,24,20,80,3,COMPLETE
188,3.1005382467992186,3.8882273771761637,18.03267572949833,41.935483870967744,2023-12-06 10:27:45.773804,2023-12-06 10:27:45.974512,0 days 00:00:00.200708,48,72,152,3,COMPLETE
189,2.762784550683347,3.58984935242315,12.445838983072134,43.333333333333336,2023-12-06 10:27:45.975273,2023-12-06 10:27:46.174162,0 days 00:00:00.198889,48,48,192,3,COMPLETE
190,1.2676389357842868,1.4490800461093052,3.1223516751176583,41.17647058823529,2023-12-06 10:27:46.174974,2023-12-06 10:27:46.371429,0 days 00:00:00.196455,52,32,60,3,COMPLETE
191,1.490461386922719,1.940078121131902,8.47464910898167,47.91666666666667,2023-12-06 10:27:46.372111,2023-12-06 10:27:46.570022,0 days 00:00:00.197911,68,40,44,3,COMPLETE
192,2.3045028049255696,2.565490218533943,13.93595317698496,46.34146341463415,2023-12-06 10:27:46.570933,2023-12-06 10:27:46.766778,0 days 00:00:00.195845,72,8,108,3,COMPLETE
193,-0.7306451183214745,0.826555713937917,-0.9756623747210837,26.38888888888889,2023-12-06 10:27:46.767500,2023-12-06 10:27:46.964930,0 days 00:00:00.197430,16,68,12,3,COMPLETE
194,3.222300744196469,3.893623164005527,21.31764730466948,36.36363636363637,2023-12-06 10:27:46.965634,2023-12-06 10:27:47.159186,0 days 00:00:00.193552,8,68,108,3,COMPLETE
195,2.095430833813453,2.412913106853435,9.005602318921815,34.375,2023-12-06 10:27:47.159970,2023-12-06 10:27:47.358568,0 days 00:00:00.198598,44,52,84,3,COMPLETE
196,0.7499790664645933,1.2575071389736339,2.6823178725873973,39.21568627450981,2023-12-06 10:27:47.359319,2023-12-06 10:27:47.560893,0 days 00:00:00.201574,68,20,44,3,COMPLETE
197,3.440608784379461,3.8116022245202803,23.58592900578231,37.5,2023-12-06 10:27:47.561865,2023-12-06 10:27:47.755728,0 days 00:00:00.193863,8,68,140,3,COMPLETE
198,-0.8818270586780323,0.5389735124448731,-1.7577645326683338,16.216216216216218,2023-12-06 10:27:47.756726,2023-12-06 10:27:47.948950,0 days 00:00:00.192224,72,68,4,3,COMPLETE
199,2.227301870065646,2.25664952454501,6.622994269665026,50.0,2023-12-06 10:27:47.949659,2023-12-06 10:27:48.142095,0 days 00:00:00.192436,48,20,216,3,COMPLETE
200,3.0654448949389868,3.8898634376415044,15.754187101204723,41.37931034482759,2023-12-06 10:27:48.142799,2023-12-06 10:27:48.337843,0 days 00:00:00.195044,48,68,152,3,COMPLETE
201,3.233591991059774,3.7835374671939923,20.922484305295324,40.625,2023-12-06 10:27:48.338543,2023-12-06 10:27:48.534004,0 days 00:00:00.195461,48,40,144,3,COMPLETE
202,2.441359832220631,2.784195122938633,14.717518488375719,41.66666666666667,2023-12-06 10:27:48.534691,2023-12-06 10:27:48.728797,0 days 00:00:00.194106,8,20,144,3,COMPLETE
203,2.8029858789721196,3.3454746945435727,20.54973567258179,42.857142857142854,2023-12-06 10:27:48.729472,2023-12-06 10:27:48.925906,0 days 00:00:00.196434,48,28,116,3,COMPLETE
204,0.9167527905992763,1.2064882422534042,1.6620810267589181,29.09090909090909,2023-12-06 10:27:48.926699,2023-12-06 10:27:49.121667,0 days 00:00:00.194968,28,40,8,3,COMPLETE
205,2.6165356115055056,3.2110393714261574,16.150095102257488,40.54054054054054,2023-12-06 10:27:49.122520,2023-12-06 10:27:49.319562,0 days 00:00:00.197042,8,20,148,3,COMPLETE
206,-3.484530806992271,0.26253559921198416,-2.655371538555738,27.027027027027028,2023-12-06 10:27:49.320528,2023-12-06 10:27:49.547907,0 days 00:00:00.227379,44,60,44,4,COMPLETE
207,2.74302787363147,3.2911940328102336,16.677866885692566,40.0,2023-12-06 10:27:49.548754,2023-12-06 10:27:49.742503,0 days 00:00:00.193749,48,40,108,4,COMPLETE
208,0.4643543433016015,1.156755280077645,1.2302150739173465,33.33333333333333,2023-12-06 10:27:49.743188,2023-12-06 10:27:49.939136,0 days 00:00:00.195948,68,52,56,4,COMPLETE
209,,,,,2023-12-06 10:27:49.939835,2023-12-06 10:27:50.137043,0 days 00:00:00.197208,4,28,152,4,FAIL
210,2.7766854692835823,3.5259351956511416,17.424644196663916,32.142857142857146,2023-12-06 10:27:50.138201,2023-12-06 10:27:50.336259,0 days 00:00:00.198058,52,40,112,4,COMPLETE
211,2.8979422690900787,3.4143879352185706,14.468465263048602,40.0,2023-12-06 10:27:50.337066,2023-12-06 10:27:50.532257,0 days 00:00:00.195191,48,52,216,4,COMPLETE
212,3.2995266772669747,3.7881113173174388,24.798731935053905,48.717948717948715,2023-12-06 10:27:50.533016,2023-12-06 10:27:50.724789,0 days 00:00:00.191773,48,20,108,4,COMPLETE
213,2.522624303724931,2.6818317132664364,9.145391570912535,42.857142857142854,2023-12-06 10:27:50.725541,2023-12-06 10:27:50.921245,0 days 00:00:00.195704,8,68,188,4,COMPLETE
214,3.362232562929798,3.769471803446268,23.60204814681584,41.17647058823529,2023-12-06 10:27:50.922014,2023-12-06 10:27:51.119929,0 days 00:00:00.197915,8,48,192,4,COMPLETE
215,3.6156351524763197,3.8658201374529666,26.019786799487065,43.75,2023-12-06 10:27:51.120762,2023-12-06 10:27:51.315714,0 days 00:00:00.194952,8,56,164,4,COMPLETE
216,1.8781308842492266,2.0630115787057854,5.105962307541944,50.0,2023-12-06 10:27:51.316434,2023-12-06 10:27:51.510826,0 days 00:00:00.194392,48,24,216,4,COMPLETE
217,2.9691376736845507,3.2117317166870536,20.712880740952865,43.58974358974359,2023-12-06 10:27:51.511559,2023-12-06 10:27:51.854401,0 days 00:00:00.342842,52,24,156,4,COMPLETE
218,3.4176859640304866,3.897318970035891,25.57312862523719,33.33333333333333,2023-12-06 10:27:51.855043,2023-12-06 10:27:52.047687,0 days 00:00:00.192644,8,52,200,4,COMPLETE
219,-0.5675542915408963,0.7779933250222701,-1.2754975803707609,28.57142857142857,2023-12-06 10:27:52.048473,2023-12-06 10:27:52.243307,0 days 00:00:00.194834,68,72,16,4,COMPLETE
220,-2.3081661903552253,0.39927532087785045,-2.330672744080357,24.242424242424242,2023-12-06 10:27:52.244038,2023-12-06 10:27:52.439442,0 days 00:00:00.195404,52,44,36,4,COMPLETE
221,2.8478826388073593,2.6097359459720146,25.818574758061054,41.66666666666667,2023-12-06 10:27:52.440142,2023-12-06 10:27:52.637380,0 days 00:00:00.197238,36,12,156,4,COMPLETE
222,2.851723764020084,3.0027865300789784,14.692912558975449,41.37931034482759,2023-12-06 10:27:52.638090,2023-12-06 10:27:52.834786,0 days 00:00:00.196696,52,64,192,4,COMPLETE
223,2.4724247901806407,3.0867230652783655,14.989042866351072,43.24324324324324,2023-12-06 10:27:52.835514,2023-12-06 10:27:53.028474,0 days 00:00:00.192960,8,24,116,4,COMPLETE
224,2.4127877308950114,2.6006925786476653,12.006070866289255,40.0,2023-12-06 10:27:53.029151,2023-12-06 10:27:53.223769,0 days 00:00:00.194618,52,40,84,4,COMPLETE
225,3.2469119783729568,4.3091191387919885,27.85356400563201,50.0,2023-12-06 10:27:53.224473,2023-12-06 10:27:53.420267,0 days 00:00:00.195794,48,20,188,4,COMPLETE
226,3.440608784379461,3.8116022245202803,23.58592900578231,37.5,2023-12-06 10:27:53.420980,2023-12-06 10:27:53.614237,0 days 00:00:00.193257,8,68,140,4,COMPLETE
227,2.8633199293996547,3.651455917988526,18.409737648068912,35.714285714285715,2023-12-06 10:27:53.615002,2023-12-06 10:27:53.816341,0 days 00:00:00.201339,48,40,112,4,COMPLETE
228,2.4127877308950114,2.6006925786476653,12.006070866289255,40.0,2023-12-06 10:27:53.817072,2023-12-06 10:27:54.013110,0 days 00:00:00.196038,52,40,84,4,COMPLETE
229,2.355231918894184,2.908268077558483,13.685446659829337,42.10526315789473,2023-12-06 10:27:54.013824,2023-12-06 10:27:54.208260,0 days 00:00:00.194436,8,20,112,4,COMPLETE
230,2.441359832220631,2.784195122938633,14.717518488375719,41.66666666666667,2023-12-06 10:27:54.209163,2023-12-06 10:27:54.400865,0 days 00:00:00.191702,8,20,144,4,COMPLETE
231,2.0672734413914426,3.285888500880256,9.40441354815778,54.54545454545454,2023-12-06 10:27:54.401589,2023-12-06 10:27:54.594830,0 days 00:00:00.193241,68,20,216,4,COMPLETE
232,2.35050892617965,2.9686353821117057,10.190348387614447,38.46153846153847,2023-12-06 10:27:54.595556,2023-12-06 10:27:54.788035,0 days 00:00:00.192479,72,56,112,4,COMPLETE
233,1.6507423719331271,1.7185395234052105,4.331721017944039,34.146341463414636,2023-12-06 10:27:54.788773,2023-12-06 10:27:54.980762,0 days 00:00:00.191989,28,28,216,4,COMPLETE
234,2.0945752081853164,1.6564168612486205,10.801677790574812,33.33333333333333,2023-12-06 10:27:54.981479,2023-12-06 10:27:55.184524,0 days 00:00:00.203045,12,28,116,4,COMPLETE
235,3.3156646458127152,2.770732057715763,32.318895798238984,39.62264150943396,2023-12-06 10:27:55.185536,2023-12-06 10:27:55.385167,0 days 00:00:00.199631,28,8,92,4,COMPLETE
236,2.7483107329912078,2.520770773418761,11.546651719075395,33.33333333333333,2023-12-06 10:27:55.385993,2023-12-06 10:27:55.589363,0 days 00:00:00.203370,32,64,140,4,COMPLETE
237,1.8439044047042725,2.6005937997139124,6.794618959494823,40.0,2023-12-06 10:27:55.590302,2023-12-06 10:27:55.785850,0 days 00:00:00.195548,68,64,164,4,COMPLETE
238,3.533191761319346,4.5164000388037975,23.886192940754366,40.0,2023-12-06 10:27:55.786519,2023-12-06 10:27:55.984035,0 days 00:00:00.197516,48,56,152,4,COMPLETE
239,2.762463558255744,3.0921914399557813,18.933523069877516,41.66666666666667,2023-12-06 10:27:55.984997,2023-12-06 10:27:56.189763,0 days 00:00:00.204766,8,4,144,4,COMPLETE
240,2.2326029367874427,2.6148891169149957,11.951837707827998,45.0,2023-12-06 10:27:56.190674,2023-12-06 10:27:56.394255,0 days 00:00:00.203581,72,20,140,4,COMPLETE
241,2.227301870065646,2.25664952454501,6.622994269665026,50.0,2023-12-06 10:27:56.395177,2023-12-06 10:27:56.613925,0 days 00:00:00.218748,48,20,216,4,COMPLETE
242,1.1252743220881025,1.4849434003939868,5.021199005390503,26.08695652173913,2023-12-06 10:27:56.616243,2023-12-06 10:27:56.867292,0 days 00:00:00.251049,8,8,16,4,COMPLETE
243,-0.2426624613726431,0.9263304037634847,-0.6157405494832761,44.44444444444444,2023-12-06 10:27:56.868337,2023-12-06 10:27:57.087207,0 days 00:00:00.218870,48,12,56,4,COMPLETE
244,3.250500999211792,4.037964667124242,20.239445212218847,43.75,2023-12-06 10:27:57.088018,2023-12-06 10:27:57.323668,0 days 00:00:00.235650,48,68,168,4,COMPLETE
245,3.2109572818822865,2.973828608959427,24.910534308134082,42.5531914893617,2023-12-06 10:27:57.325601,2023-12-06 10:27:57.549382,0 days 00:00:00.223781,24,20,200,4,COMPLETE
246,2.8651062174460664,3.070340982163173,18.896298852988025,38.23529411764706,2023-12-06 10:27:57.550279,2023-12-06 10:27:57.755108,0 days 00:00:00.204829,8,24,140,4,COMPLETE
247,2.1972903237664005,3.40065479697385,10.946196887904419,41.935483870967744,2023-12-06 10:27:57.756061,2023-12-06 10:27:57.961711,0 days 00:00:00.205650,68,40,188,4,COMPLETE
248,-1.449639523045091,0.6795101042853156,-2.563632097034758,40.32258064516129,2023-12-06 10:27:57.962674,2023-12-06 10:27:58.165649,0 days 00:00:00.202975,36,28,40,4,COMPLETE
249,2.47672368824732,2.229539611032546,17.477604833082545,37.254901960784316,2023-12-06 10:27:58.166423,2023-12-06 10:27:58.370660,0 days 00:00:00.204237,32,12,140,4,COMPLETE
250,2.4484352264832467,2.82022611776384,11.159437761699838,31.03448275862069,2023-12-06 10:27:58.371417,2023-12-06 10:27:58.568747,0 days 00:00:00.197330,48,72,112,4,COMPLETE
251,3.3505197954479127,3.8103379617176287,33.45799741632929,46.34146341463415,2023-12-06 10:27:58.569449,2023-12-06 10:27:58.765646,0 days 00:00:00.196197,44,12,116,4,COMPLETE
252,1.9720275691773135,1.6438726243097301,8.797007370990755,39.726027397260275,2023-12-06 10:27:58.766584,2023-12-06 10:27:58.974303,0 days 00:00:00.207719,24,40,44,4,COMPLETE
253,,,,,2023-12-06 10:27:58.975307,2023-12-06 10:27:59.184226,0 days 00:00:00.208919,4,28,60,4,FAIL
254,2.0726928709324177,2.1049965233562733,6.13435712379728,48.64864864864865,2023-12-06 10:27:59.185783,2023-12-06 10:27:59.380248,0 days 00:00:00.194465,52,20,216,4,COMPLETE
255,2.339376184270339,2.232397885783401,7.932025889851391,47.5,2023-12-06 10:27:59.381381,2023-12-06 10:27:59.573583,0 days 00:00:00.192202,48,12,192,4,COMPLETE
256,2.314592308739286,1.7672074329278176,10.072394804233166,30.357142857142854,2023-12-06 10:27:59.574329,2023-12-06 10:27:59.765471,0 days 00:00:00.191142,12,48,192,4,COMPLETE
257,2.477693299827149,2.096261245371504,14.46811584891117,35.294117647058826,2023-12-06 10:27:59.766183,2023-12-06 10:27:59.954916,0 days 00:00:00.188733,24,28,104,4,COMPLETE
258,2.961403529795451,3.1093822376052125,19.33789617783415,33.33333333333333,2023-12-06 10:27:59.955622,2023-12-06 10:28:00.172425,0 days 00:00:00.216803,8,40,188,5,COMPLETE
259,3.2469119783729568,4.3091191387919885,27.85356400563201,50.0,2023-12-06 10:28:00.173283,2023-12-06 10:28:00.367085,0 days 00:00:00.193802,48,20,188,5,COMPLETE
260,3.215344468625663,4.64195140200295,20.961564596766255,46.875,2023-12-06 10:28:00.367922,2023-12-06 10:28:00.560533,0 days 00:00:00.192611,48,36,212,5,COMPLETE
261,3.183600375976982,3.3421602514847413,31.699655099220678,51.162790697674424,2023-12-06 10:28:00.561212,2023-12-06 10:28:00.750926,0 days 00:00:00.189714,44,12,140,5,COMPLETE
262,3.194371497218986,3.9983902355845435,24.326417774907906,34.285714285714285,2023-12-06 10:28:00.751617,2023-12-06 10:28:00.944270,0 days 00:00:00.192653,8,20,196,5,COMPLETE
263,0.2502391474095464,1.0437430257055909,0.43977265903850443,32.78688524590164,2023-12-06 10:28:00.945002,2023-12-06 10:28:01.155987,0 days 00:00:00.210985,56,8,36,5,COMPLETE
264,2.3915521300158287,2.968679281107588,9.826486822468853,37.5,2023-12-06 10:28:01.156907,2023-12-06 10:28:01.364966,0 days 00:00:00.208059,44,52,116,5,COMPLETE
265,3.095295079001759,2.615359430753006,26.163077397681413,41.66666666666667,2023-12-06 10:28:01.366188,2023-12-06 10:28:01.563883,0 days 00:00:00.197695,24,28,152,5,COMPLETE
266,-1.0000583301615753,0.7351149189474273,-1.2391968484379017,26.08695652173913,2023-12-06 10:28:01.564638,2023-12-06 10:28:01.756438,0 days 00:00:00.191800,36,32,20,5,COMPLETE
267,2.5113228406664962,2.915608044219972,15.358887499176078,47.368421052631575,2023-12-06 10:28:01.757131,2023-12-06 10:28:01.954868,0 days 00:00:00.197737,60,12,164,5,COMPLETE
268,2.2725750547989323,4.181656458492476,11.063702284647595,54.83870967741935,2023-12-06 10:28:01.955707,2023-12-06 10:28:02.149780,0 days 00:00:00.194073,68,20,204,5,COMPLETE
269,0.9637387085576543,1.3035619992622047,2.0579353669897804,38.88888888888889,2023-12-06 10:28:02.150502,2023-12-06 10:28:02.344879,0 days 00:00:00.194377,48,44,56,5,COMPLETE
270,2.6929643778461347,2.9340385367430155,11.91413383840696,25.806451612903224,2023-12-06 10:28:02.345688,2023-12-06 10:28:02.540204,0 days 00:00:00.194516,48,60,180,5,COMPLETE
271,2.740352420349817,2.2850170305375466,11.159516490345736,30.23255813953488,2023-12-06 10:28:02.540919,2023-12-06 10:28:02.730242,0 days 00:00:00.189323,24,56,164,5,COMPLETE
272,3.0854318170505155,4.152391861840135,24.570468433910673,48.64864864864865,2023-12-06 10:28:02.730951,2023-12-06 10:28:02.918762,0 days 00:00:00.187811,48,24,108,5,COMPLETE
273,1.9049961115693115,2.690233588835721,6.943973632337664,30.76923076923077,2023-12-06 10:28:02.919583,2023-12-06 10:28:03.117967,0 days 00:00:00.198384,68,68,140,5,COMPLETE
274,3.0283903470407525,3.405495005196857,23.554268850350955,43.58974358974359,2023-12-06 10:28:03.118931,2023-12-06 10:28:03.315181,0 days 00:00:00.196250,72,8,164,5,COMPLETE
275,2.259867662235416,2.364514374265902,14.530671825470355,33.33333333333333,2023-12-06 10:28:03.315966,2023-12-06 10:28:03.514410,0 days 00:00:00.198444,8,20,76,5,COMPLETE
276,3.0315127333370775,3.3905166543737977,22.41403355225027,35.13513513513514,2023-12-06 10:28:03.515493,2023-12-06 10:28:03.720818,0 days 00:00:00.205325,8,20,188,5,COMPLETE
277,3.1408148591589367,3.5631991296194667,22.959321489121105,47.5,2023-12-06 10:28:03.721799,2023-12-06 10:28:03.931251,0 days 00:00:00.209452,52,20,108,5,COMPLETE
278,2.227301870065646,2.25664952454501,6.622994269665026,50.0,2023-12-06 10:28:03.932216,2023-12-06 10:28:04.142309,0 days 00:00:00.210093,48,20,216,5,COMPLETE
279,1.2043732369386841,1.4094890393826958,2.957945290424884,45.09803921568628,2023-12-06 10:28:04.143465,2023-12-06 10:28:04.518489,0 days 00:00:00.375024,48,32,64,5,COMPLETE
280,-1.2829738643467479,0.7477776531735711,-2.151412790898118,42.3728813559322,2023-12-06 10:28:04.519265,2023-12-06 10:28:04.721356,0 days 00:00:00.202091,40,12,52,5,COMPLETE
281,1.4328237497541076,1.5510387981882834,3.8572021659993263,44.0,2023-12-06 10:28:04.722230,2023-12-06 10:28:04.919349,0 days 00:00:00.197119,52,8,72,5,COMPLETE
282,3.486875548260765,4.482003957603129,24.292665334776657,33.33333333333333,2023-12-06 10:28:04.920109,2023-12-06 10:28:05.120061,0 days 00:00:00.199952,8,68,112,5,COMPLETE
283,-1.2975791530052416,0.5721572671761771,-1.783098310590412,23.684210526315788,2023-12-06 10:28:05.120977,2023-12-06 10:28:05.315987,0 days 00:00:00.195010,8,56,32,5,COMPLETE
284,2.247460774630578,2.7597732014888243,10.081103665536784,44.11764705882353,2023-12-06 10:28:05.316700,2023-12-06 10:28:05.510187,0 days 00:00:00.193487,56,20,212,5,COMPLETE
285,1.9156615745704986,2.443260495177636,6.509490704103985,34.48275862068966,2023-12-06 10:28:05.510904,2023-12-06 10:28:05.704609,0 days 00:00:00.193705,56,48,156,5,COMPLETE
286,2.899346083383218,3.1003143653065424,14.710250615252033,33.33333333333333,2023-12-06 10:28:05.705314,2023-12-06 10:28:05.903800,0 days 00:00:00.198486,48,56,204,5,COMPLETE
287,1.7504394361567892,1.9123733451049976,4.593662139028546,38.23529411764706,2023-12-06 10:28:05.904568,2023-12-06 10:28:06.096873,0 days 00:00:00.192305,48,68,184,5,COMPLETE
288,2.545539341111507,2.1506673958308458,16.187720006005204,37.254901960784316,2023-12-06 10:28:06.097656,2023-12-06 10:28:06.290730,0 days 00:00:00.193074,24,24,112,5,COMPLETE
289,1.4940845151845934,2.1384795961415177,5.8326353146802665,36.0,2023-12-06 10:28:06.291479,2023-12-06 10:28:06.491048,0 days 00:00:00.199569,60,60,92,5,COMPLETE
