number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
33,2.428493740995196,2.543192304996476,13.483340289361019,36.58536585365854,2023-12-06 10:27:15.279893,2023-12-06 10:27:15.474096,0 days 00:00:00.194203,40,28,88,0,COMPLETE
34,2.577627019810699,2.341114445629396,10.351692740570916,44.89795918367347,2023-12-06 10:27:15.474953,2023-12-06 10:27:15.671301,0 days 00:00:00.196348,52,4,144,0,COMPLETE
35,2.227301870065646,2.25664952454501,6.622994269665026,50.0,2023-12-06 10:27:15.671914,2023-12-06 10:27:15.862683,0 days 00:00:00.190769,48,20,216,0,COMPLETE
36,1.5359435083968285,1.4185433889180872,6.034031546176728,29.09090909090909,2023-12-06 10:27:15.863322,2023-12-06 10:27:16.078217,0 days 00:00:00.214895,20,32,88,0,COMPLETE
37,-1.664818447807602,0.5273700341296963,-2.226926364190539,27.027027027027028,2023-12-06 10:27:16.078977,2023-12-06 10:27:16.270931,0 days 00:00:00.191954,48,36,4,0,COMPLETE
38,3.0315127333370775,3.3905166543737977,22.41403355225027,35.13513513513514,2023-12-06 10:27:16.271623,2023-12-06 10:27:16.463223,0 days 00:00:00.191600,8,20,188,0,COMPLETE
39,1.790410319396246,1.502046710990939,5.291889732542157,28.000000000000004,2023-12-06 10:27:16.463955,2023-12-06 10:27:16.794556,0 days 00:00:00.330601,16,56,144,0,COMPLETE
40,1.4159288372814232,1.7303879376808402,7.687450681667933,45.65217391304348,2023-12-06 10:27:16.795161,2023-12-06 10:27:16.987438,0 days 00:00:00.192277,68,28,60,0,COMPLETE
41,-1.0367170484709796,0.6860000554151172,-1.5250475627483278,31.428571428571427,2023-12-06 10:27:16.988084,2023-12-06 10:27:17.181327,0 days 00:00:00.193243,16,48,44,0,COMPLETE
42,3.102255543852875,3.380535639717314,23.91195259516805,38.88888888888889,2023-12-06 10:27:17.182062,2023-12-06 10:27:17.381269,0 days 00:00:00.199207,8,12,164,0,COMPLETE
43,0.8339852638299284,1.2081191535064282,1.3873248875161106,34.61538461538461,2023-12-06 10:27:17.381911,2023-12-06 10:27:17.573309,0 days 00:00:00.191398,12,72,200,0,COMPLETE
44,1.6261755099366915,2.2951640027201865,7.040778239682734,39.39393939393939,2023-12-06 10:27:17.573985,2023-12-06 10:27:17.766012,0 days 00:00:00.192027,68,36,152,0,COMPLETE
45,3.0735747814830594,2.2478998533695584,24.78271742861622,40.909090909090914,2023-12-06 10:27:17.766679,2023-12-06 10:27:17.954858,0 days 00:00:00.188179,24,20,76,0,COMPLETE
46,2.4771314388050336,3.017369913259685,12.84280045341744,36.36363636363637,2023-12-06 10:27:17.955522,2023-12-06 10:27:18.154627,0 days 00:00:00.199105,72,40,152,0,COMPLETE
47,1.0779588144350134,1.2168239972556762,2.3606038411488917,38.23529411764706,2023-12-06 10:27:18.155548,2023-12-06 10:27:18.348634,0 days 00:00:00.193086,24,28,48,0,COMPLETE
48,2.472664983719772,1.8013734960157288,12.603696686442241,33.9622641509434,2023-12-06 10:27:18.349331,2023-12-06 10:27:18.549232,0 days 00:00:00.199901,16,36,136,0,COMPLETE
49,2.441145161413858,3.1150648521368423,12.556252483891122,36.0,2023-12-06 10:27:18.550247,2023-12-06 10:27:18.744044,0 days 00:00:00.193797,52,44,124,0,COMPLETE
50,2.889128541896795,2.2448523443065413,21.703088600655185,38.18181818181819,2023-12-06 10:27:18.744705,2023-12-06 10:27:18.938926,0 days 00:00:00.194221,24,8,164,0,COMPLETE
51,1.957621758604134,2.075313089536012,6.579815637622584,25.71428571428571,2023-12-06 10:27:18.939738,2023-12-06 10:27:19.130600,0 days 00:00:00.190862,40,64,100,0,COMPLETE
52,1.8819630597916353,2.5881766553068197,6.174802851575781,27.27272727272727,2023-12-06 10:27:19.131209,2023-12-06 10:27:19.324149,0 days 00:00:00.192940,60,56,140,1,COMPLETE
53,2.246791528436267,2.600796814074201,9.335663913397235,25.0,2023-12-06 10:27:19.324786,2023-12-06 10:27:19.510873,0 days 00:00:00.186087,72,72,128,1,COMPLETE
54,2.7712959013299354,3.785475276732795,12.330857269502737,36.0,2023-12-06 10:27:19.511542,2023-12-06 10:27:19.696547,0 days 00:00:00.185005,48,52,140,1,COMPLETE
55,2.1747038782014187,2.140604621096619,10.219172676317307,37.5,2023-12-06 10:27:19.697275,2023-12-06 10:27:19.883142,0 days 00:00:00.185867,8,44,84,1,COMPLETE
56,-0.32923441308914714,0.7848954832914993,-1.0677758540767261,27.586206896551722,2023-12-06 10:27:19.883752,2023-12-06 10:27:20.067145,0 days 00:00:00.183393,68,56,20,1,COMPLETE
57,1.7076149176667776,2.1490767987417096,5.80931169872384,28.57142857142857,2023-12-06 10:27:20.067763,2023-12-06 10:27:20.253792,0 days 00:00:00.186029,60,64,176,1,COMPLETE
58,-0.6391477579359379,0.8619468162310563,-2.125638482821953,34.11764705882353,2023-12-06 10:27:20.254407,2023-12-06 10:27:20.439967,0 days 00:00:00.185560,20,4,48,1,COMPLETE
59,3.2915790904626565,3.3812058216767795,26.256727018003954,43.18181818181818,2023-12-06 10:27:20.440641,2023-12-06 10:27:20.626986,0 days 00:00:00.186345,52,8,92,1,COMPLETE
60,1.7013974972892514,1.5750122170916656,6.1855647433741705,36.53846153846153,2023-12-06 10:27:20.627645,2023-12-06 10:27:20.813630,0 days 00:00:00.185985,16,72,144,1,COMPLETE
61,1.2648280800979308,1.3168615261750585,2.721627589776703,48.0,2023-12-06 10:27:20.814257,2023-12-06 10:27:20.999993,0 days 00:00:00.185736,48,20,64,1,COMPLETE
62,2.8153309291425663,3.2690088589860227,15.217078211230048,48.484848484848484,2023-12-06 10:27:21.000624,2023-12-06 10:27:21.189742,0 days 00:00:00.189118,48,44,216,1,COMPLETE
