number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
11,-0.05449187653109558,0.9627063769423311,-0.20202570300970019,42.857142857142854,2023-12-06 10:18:29.406404,2023-12-06 10:18:29.609281,0 days 00:00:00.202877,2.6791650985070152,32,12,52,0,COMPLETE
12,0.07210572729905727,0.9832993867713248,-0.09860660685375913,33.9622641509434,2023-12-06 10:18:29.610100,2023-12-06 10:18:29.807292,0 days 00:00:00.197192,1.9352738184164553,40,60,80,0,COMPLETE
13,-1.1082174649380558,0.7899133731720472,-1.444930564639147,29.629629629629626,2023-12-06 10:18:29.807935,2023-12-06 10:18:30.013786,0 days 00:00:00.205851,2.381229988257666,12,4,184,0,COMPLETE
14,-3.275960887596052,0.4912703388100713,-2.644441084387219,32.467532467532465,2023-12-06 10:18:30.014931,2023-12-06 10:18:30.226165,0 days 00:00:00.211234,2.4022982531064425,12,64,8,0,COMPLETE
15,1.7546481867086254,1.614440230895885,5.38821811668242,51.28205128205128,2023-12-06 10:18:30.226889,2023-12-06 10:18:30.432183,0 days 00:00:00.205294,2.219374191189874,48,24,200,0,COMPLETE
16,2.1618463445733287,1.5313633957014614,3.4142935621298616,38.095238095238095,2023-12-06 10:18:30.432940,2023-12-06 10:18:30.637924,0 days 00:00:00.204984,2.2735967691762102,68,20,52,0,COMPLETE
17,0.21035013852395093,1.0209308482504802,0.20324110832929135,36.0,2023-12-06 10:18:30.638748,2023-12-06 10:18:30.839659,0 days 00:00:00.200911,2.735074959919584,44,60,96,0,COMPLETE
18,0.4083944358817602,1.047984397181899,0.45682777080171116,46.808510638297875,2023-12-06 10:18:30.840405,2023-12-06 10:18:31.036808,0 days 00:00:00.196403,2.4643552186425226,36,36,156,0,COMPLETE
19,2.886886457484116,1.6963929199842047,7.647908558718099,41.66666666666667,2023-12-06 10:18:31.037575,2023-12-06 10:18:31.236452,0 days 00:00:00.198877,2.221301219455645,32,8,124,0,COMPLETE
20,0.4005337143177746,1.0284942503509715,0.5122064146730214,35.39823008849557,2023-12-06 10:18:31.237136,2023-12-06 10:18:31.439138,0 days 00:00:00.202002,1.5338241135536586,44,20,96,0,COMPLETE
21,1.9177433414798704,1.3001950914808107,7.35250314060197,38.88888888888889,2023-12-06 10:18:31.439866,2023-12-06 10:18:31.633819,0 days 00:00:00.193953,1.8425399155980349,68,16,84,0,COMPLETE
22,3.846748893893057,2.296479504068225,16.300696869677896,40.909090909090914,2023-12-06 10:18:31.634453,2023-12-06 10:18:31.832214,0 days 00:00:00.197761,2.8834745634020846,56,8,124,0,COMPLETE
23,-2.2229272611371775,0.6968166514701036,-1.9871364972487193,38.54166666666667,2023-12-06 10:18:31.832876,2023-12-06 10:18:32.027215,0 days 00:00:00.194339,1.7763999868330547,44,24,208,0,COMPLETE
24,-0.033755287717565564,0.9522517166829163,-0.2652023903565627,45.0,2023-12-06 10:18:32.027936,2023-12-06 10:18:32.220628,0 days 00:00:00.192692,2.772720638738303,36,72,152,0,COMPLETE
25,,,,,2023-12-06 10:18:32.221301,2023-12-06 10:18:32.412889,0 days 00:00:00.191588,2.1086507153156564,4,12,148,0,FAIL
26,0.35434083378003034,1.018526288358431,0.40236144714250244,31.03448275862069,2023-12-06 10:18:32.413809,2023-12-06 10:18:32.722022,0 days 00:00:00.308213,2.555884402376254,12,32,68,0,COMPLETE
27,-1.735658465972005,0.8411717223991607,-2.5680139906136596,27.976190476190478,2023-12-06 10:18:32.722804,2023-12-06 10:18:32.916772,0 days 00:00:00.193968,1.7529741575000717,4,4,88,0,COMPLETE
28,-6.545924051827915,0.49265097499904564,-1.9377842648274126,24.8,2023-12-06 10:18:32.917381,2023-12-06 10:18:33.115662,0 days 00:00:00.198281,1.583377949298912,8,40,168,0,COMPLETE
29,0.7911109154727193,1.1737346372253195,1.387963960817634,41.509433962264154,2023-12-06 10:18:33.116331,2023-12-06 10:18:33.311714,0 days 00:00:00.195383,2.384201283760172,20,68,192,0,COMPLETE
30,-0.054933427327665464,0.9765494360134385,-0.3851243137498519,35.0,2023-12-06 10:18:33.312419,2023-12-06 10:18:33.506423,0 days 00:00:00.194004,1.5522525654538462,52,8,88,0,COMPLETE
31,3.2723579702567207,1.8611891416906923,18.97423055256598,39.39393939393939,2023-12-06 10:18:33.507085,2023-12-06 10:18:33.699956,0 days 00:00:00.192871,2.645059715201972,20,24,92,0,COMPLETE
32,0.9357245074551134,1.2441544957641983,1.7121765270768539,37.2093023255814,2023-12-06 10:18:33.700586,2023-12-06 10:18:33.895202,0 days 00:00:00.194616,2.995500894740079,52,60,104,0,COMPLETE
33,1.9985863360913418,1.2871207130896825,6.69656547251445,38.84297520661157,2023-12-06 10:18:33.895899,2023-12-06 10:18:34.089244,0 days 00:00:00.193345,1.508186285432992,36,4,168,0,COMPLETE
34,-0.8632108735234425,0.8087414575134982,-1.6017746796906502,29.166666666666668,2023-12-06 10:18:34.089895,2023-12-06 10:18:34.282511,0 days 00:00:00.192616,2.335143238074112,12,72,164,0,COMPLETE
35,-0.3427349153689902,0.9088621050524938,-0.8373945369843168,27.049180327868854,2023-12-06 10:18:34.283126,2023-12-06 10:18:34.478287,0 days 00:00:00.195161,1.529569573136495,20,72,48,0,COMPLETE
36,3.0847438605129724,1.988552852248797,12.057894954404736,40.0,2023-12-06 10:18:34.478980,2023-12-06 10:18:34.676217,0 days 00:00:00.197237,2.979373735449533,68,12,96,0,COMPLETE
37,2.3328700468476007,1.685680677488882,8.392714251044149,39.34426229508197,2023-12-06 10:18:34.677005,2023-12-06 10:18:34.870938,0 days 00:00:00.193933,2.161016978623138,28,48,92,0,COMPLETE
38,2.029455996342508,1.524351182008808,8.75684714208026,36.0,2023-12-06 10:18:34.871539,2023-12-06 10:18:35.063431,0 days 00:00:00.191892,2.1344680521851527,20,60,52,0,COMPLETE
39,0.9249820621437522,1.3092713398861349,1.990183056788029,43.75,2023-12-06 10:18:35.064048,2023-12-06 10:18:35.258620,0 days 00:00:00.194572,2.656706060415115,64,72,192,0,COMPLETE
40,1.2639249055367041,1.3061507595585162,2.824045796330962,30.434782608695656,2023-12-06 10:18:35.259231,2023-12-06 10:18:35.454387,0 days 00:00:00.195156,2.3142213497968616,72,44,52,0,COMPLETE
41,-1.3998925230276236,0.7920390076492345,-1.806989229340891,34.31372549019608,2023-12-06 10:18:35.455052,2023-12-06 10:18:35.644895,0 days 00:00:00.189843,1.6415668931478475,48,60,80,0,COMPLETE
42,0.11236374648709983,0.9812450430713388,-0.02169115364055296,33.02752293577982,2023-12-06 10:18:35.645497,2023-12-06 10:18:35.841600,0 days 00:00:00.196103,1.5674945478814322,32,64,120,0,COMPLETE
43,-4.576561928376161,0.5582641696309084,-2.1371247811215706,27.956989247311824,2023-12-06 10:18:35.842424,2023-12-06 10:18:36.035876,0 days 00:00:00.193452,1.5979205369384228,12,48,188,0,COMPLETE
44,2.0560452742144393,1.4189102228176866,4.062972769433176,40.0,2023-12-06 10:18:36.036507,2023-12-06 10:18:36.227418,0 days 00:00:00.190911,2.9514082007134745,44,8,48,0,COMPLETE
