number,value,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window,state
0,0.6823269997806669,2023-12-07 12:52:25.313542,2023-12-07 12:52:25.505031,0 days 00:00:00.191489,44,52,20,48,16,COMPLETE
1,-0.6934071624359818,2023-12-07 12:52:25.505713,2023-12-07 12:52:25.687804,0 days 00:00:00.182091,12,68,48,24,56,COMPLETE
2,-0.7201304846803277,2023-12-07 12:52:25.688450,2023-12-07 12:52:25.878571,0 days 00:00:00.190121,60,32,48,192,28,COMPLETE
3,0.24986973325525283,2023-12-07 12:52:25.879550,2023-12-07 12:52:26.077085,0 days 00:00:00.197535,28,32,56,192,16,COMPLETE
4,-1.3658352243686522,2023-12-07 12:52:26.077920,2023-12-07 12:52:26.273925,0 days 00:00:00.196005,28,4,16,120,52,COMPLETE
5,-0.6984107893554213,2023-12-07 12:52:26.275094,2023-12-07 12:52:26.460633,0 days 00:00:00.185539,16,60,16,168,72,COMPLETE
6,1.573838302133964,2023-12-07 12:52:26.461323,2023-12-07 12:52:26.643247,0 days 00:00:00.181924,60,12,36,192,52,COMPLETE
7,0.6846185534561309,2023-12-07 12:52:26.643902,2023-12-07 12:52:26.826788,0 days 00:00:00.182886,56,64,48,120,40,COMPLETE
8,-0.48556843735993027,2023-12-07 12:52:26.827529,2023-12-07 12:52:27.011314,0 days 00:00:00.183785,68,44,16,24,64,COMPLETE
9,-1.679601064276072,2023-12-07 12:52:27.012249,2023-12-07 12:52:27.199892,0 days 00:00:00.187643,44,4,16,144,48,COMPLETE
10,-0.21899939555226766,2023-12-07 12:52:27.200653,2023-12-07 12:52:27.402884,0 days 00:00:00.202231,72,20,68,240,32,COMPLETE
11,0.8342799218508979,2023-12-07 12:52:27.403708,2023-12-07 12:52:27.611421,0 days 00:00:00.207713,56,72,32,96,40,COMPLETE
12,1.4805103862161542,2023-12-07 12:52:27.612292,2023-12-07 12:52:27.815909,0 days 00:00:00.203617,56,20,32,72,40,COMPLETE
13,1.6001523555087944,2023-12-07 12:52:27.816642,2023-12-07 12:52:28.019412,0 days 00:00:00.202770,48,16,32,72,4,COMPLETE
14,0.29139999893329555,2023-12-07 12:52:28.020151,2023-12-07 12:52:28.223156,0 days 00:00:00.203005,40,16,4,240,4,COMPLETE
15,-1.1306315542163097,2023-12-07 12:52:28.223862,2023-12-07 12:52:28.434597,0 days 00:00:00.210735,48,12,36,72,20,COMPLETE
16,1.3158488633341379,2023-12-07 12:52:28.435640,2023-12-07 12:52:28.648702,0 days 00:00:00.213062,32,28,28,192,4,COMPLETE
17,2.264133241717435,2023-12-07 12:52:28.649628,2023-12-07 12:52:28.857875,0 days 00:00:00.208247,64,40,44,144,68,COMPLETE
18,2.0067326576266993,2023-12-07 12:52:28.858601,2023-12-07 12:52:29.061916,0 days 00:00:00.203315,68,44,60,96,68,COMPLETE
19,0.25389239719463325,2023-12-07 12:52:29.062683,2023-12-07 12:52:29.264016,0 days 00:00:00.201333,68,44,68,144,72,COMPLETE
20,0.0046413483473119275,2023-12-07 12:52:29.264812,2023-12-07 12:52:29.467490,0 days 00:00:00.202678,72,56,60,96,64,COMPLETE
21,2.331146495040257,2023-12-07 12:52:29.468210,2023-12-07 12:52:29.669283,0 days 00:00:00.201073,64,40,56,96,64,COMPLETE
22,1.7691135518635022,2023-12-07 12:52:29.669995,2023-12-07 12:52:29.875138,0 days 00:00:00.205143,64,44,56,96,64,COMPLETE
23,1.4105620206752159,2023-12-07 12:52:29.875865,2023-12-07 12:52:30.080185,0 days 00:00:00.204320,64,40,44,120,60,COMPLETE
24,0.3118328311135978,2023-12-07 12:52:30.081011,2023-12-07 12:52:30.286127,0 days 00:00:00.205116,72,52,60,144,72,COMPLETE
25,1.9389698790981749,2023-12-07 12:52:30.286914,2023-12-07 12:52:30.489887,0 days 00:00:00.202973,52,36,72,168,68,COMPLETE
26,1.365585945080925,2023-12-07 12:52:30.490633,2023-12-07 12:52:30.694191,0 days 00:00:00.203558,64,52,56,48,48,COMPLETE
27,3.072377064172989,2023-12-07 12:52:30.694929,2023-12-07 12:52:30.899431,0 days 00:00:00.204502,60,28,44,96,60,COMPLETE
28,2.209535669316894,2023-12-07 12:52:30.900199,2023-12-07 12:52:31.108416,0 days 00:00:00.208217,52,28,44,168,56,COMPLETE
29,0.0,2023-12-07 12:52:31.109229,2023-12-07 12:52:31.315274,0 days 00:00:00.206045,4,24,40,48,60,COMPLETE
30,0.5596176678707457,2023-12-07 12:52:31.315995,2023-12-07 12:52:31.517508,0 days 00:00:00.201513,36,36,52,120,60,COMPLETE
31,2.209535669316894,2023-12-07 12:52:31.518204,2023-12-07 12:52:31.857373,0 days 00:00:00.339169,52,28,44,168,56,COMPLETE
32,0.723560279396445,2023-12-07 12:52:31.858055,2023-12-07 12:52:32.070343,0 days 00:00:00.212288,60,28,40,216,48,COMPLETE
33,0.38238973835775636,2023-12-07 12:52:32.071086,2023-12-07 12:52:32.278698,0 days 00:00:00.207612,52,40,44,144,56,COMPLETE
34,1.265661770572563,2023-12-07 12:52:32.279543,2023-12-07 12:52:32.485727,0 days 00:00:00.206184,60,32,52,168,68,COMPLETE
35,1.3008296244960182,2023-12-07 12:52:32.486506,2023-12-07 12:52:32.696002,0 days 00:00:00.209496,44,32,24,72,52,COMPLETE
36,-0.5263957531654362,2023-12-07 12:52:32.696922,2023-12-07 12:52:32.905222,0 days 00:00:00.208300,48,24,48,48,60,COMPLETE
37,1.8357803027453847,2023-12-07 12:52:32.905965,2023-12-07 12:52:33.112171,0 days 00:00:00.206206,64,48,52,120,44,COMPLETE
38,-1.5542985644639251,2023-12-07 12:52:33.112889,2023-12-07 12:52:33.319875,0 days 00:00:00.206986,56,36,40,216,32,COMPLETE
39,1.0556818695191585,2023-12-07 12:52:33.320571,2023-12-07 12:52:33.526709,0 days 00:00:00.206138,68,48,44,96,56,COMPLETE
40,2.3565547532520084,2023-12-07 12:52:33.527708,2023-12-07 12:52:33.734040,0 days 00:00:00.206332,60,32,64,144,68,COMPLETE
41,0.5970025097435965,2023-12-07 12:52:33.734810,2023-12-07 12:52:33.941590,0 days 00:00:00.206780,20,32,64,144,68,COMPLETE
42,0.5557228363886098,2023-12-07 12:52:33.942324,2023-12-07 12:52:34.147247,0 days 00:00:00.204923,60,24,64,168,64,COMPLETE
