number,value,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window,state
43,1.9582580849395075,2023-12-07 12:52:34.147977,2023-12-07 12:52:34.351985,0 days 00:00:00.204008,60,40,52,120,72,COMPLETE
44,2.055734025584747,2023-12-07 12:52:34.352737,2023-12-07 12:52:34.557861,0 days 00:00:00.205124,56,28,48,192,64,COMPLETE
45,1.1251668932534558,2023-12-07 12:52:34.558566,2023-12-07 12:52:34.765922,0 days 00:00:00.207356,64,36,56,144,52,COMPLETE
46,1.2524606401788063,2023-12-07 12:52:34.766664,2023-12-07 12:52:34.973714,0 days 00:00:00.207050,68,20,72,120,68,COMPLETE
47,0.7707876868673849,2023-12-07 12:52:34.974442,2023-12-07 12:52:35.182555,0 days 00:00:00.208113,52,48,64,168,56,COMPLETE
48,-1.0178986327478758,2023-12-07 12:52:35.183318,2023-12-07 12:52:35.388736,0 days 00:00:00.205418,56,32,36,24,60,COMPLETE
49,1.6221082502704596,2023-12-07 12:52:35.389448,2023-12-07 12:52:35.594212,0 days 00:00:00.204764,44,16,48,72,72,COMPLETE
50,1.2872362474645975,2023-12-07 12:52:35.594920,2023-12-07 12:52:35.802249,0 days 00:00:00.207329,72,40,28,96,64,COMPLETE
51,2.209535669316894,2023-12-07 12:52:35.803042,2023-12-07 12:52:36.010038,0 days 00:00:00.206996,52,28,44,168,56,COMPLETE
52,-0.0320143864871866,2023-12-07 12:52:36.010900,2023-12-07 12:52:36.218387,0 days 00:00:00.207487,48,28,36,192,52,COMPLETE
53,1.5840408667971182,2023-12-07 12:52:36.219133,2023-12-07 12:52:36.426840,0 days 00:00:00.207707,40,24,44,144,44,COMPLETE
54,1.0246965768886047,2023-12-07 12:52:36.427777,2023-12-07 12:52:36.634342,0 days 00:00:00.206565,60,32,40,168,68,COMPLETE
55,1.6211385510511571,2023-12-07 12:52:36.635077,2023-12-07 12:52:36.843712,0 days 00:00:00.208635,56,36,68,192,60,COMPLETE
56,-3.0353461714097336,2023-12-07 12:52:36.844480,2023-12-07 12:52:37.051690,0 days 00:00:00.207210,64,20,56,144,24,COMPLETE
57,-2.105029713197626,2023-12-07 12:52:37.052470,2023-12-07 12:52:37.259468,0 days 00:00:00.206998,68,8,4,216,56,COMPLETE
58,2.068016915435607,2023-12-07 12:52:37.260224,2023-12-07 12:52:37.466521,0 days 00:00:00.206297,52,44,32,168,64,COMPLETE
59,0.91363999602935,2023-12-07 12:52:37.467275,2023-12-07 12:52:37.675004,0 days 00:00:00.207729,56,28,48,120,8,COMPLETE
60,0.0076323690178888275,2023-12-07 12:52:37.675888,2023-12-07 12:52:37.883871,0 days 00:00:00.207983,28,64,60,96,72,COMPLETE
61,2.209535669316894,2023-12-07 12:52:37.884649,2023-12-07 12:52:38.091308,0 days 00:00:00.206659,52,28,44,168,56,COMPLETE
62,1.5511638649351467,2023-12-07 12:52:38.092090,2023-12-07 12:52:38.299841,0 days 00:00:00.207751,52,24,48,144,60,COMPLETE
63,-0.46399967819605276,2023-12-07 12:52:38.300602,2023-12-07 12:52:38.511095,0 days 00:00:00.210493,48,32,44,168,48,COMPLETE
64,0.7222260275390886,2023-12-07 12:52:38.511872,2023-12-07 12:52:38.718418,0 days 00:00:00.206546,60,36,40,192,64,COMPLETE
65,3.0762349238413913,2023-12-07 12:52:38.719167,2023-12-07 12:52:38.925823,0 days 00:00:00.206656,64,28,36,168,56,COMPLETE
66,2.7313704371126772,2023-12-07 12:52:38.926556,2023-12-07 12:52:39.134820,0 days 00:00:00.208264,64,20,36,144,68,COMPLETE
67,2.24682425152159,2023-12-07 12:52:39.135598,2023-12-07 12:52:39.344199,0 days 00:00:00.208601,68,20,28,144,68,COMPLETE
68,3.5141791204561397,2023-12-07 12:52:39.344933,2023-12-07 12:52:39.551796,0 days 00:00:00.206863,72,12,28,120,68,COMPLETE
69,0.9243801695755565,2023-12-07 12:52:39.552506,2023-12-07 12:52:39.759473,0 days 00:00:00.206967,72,12,24,96,72,COMPLETE
70,3.515266888234667,2023-12-07 12:52:39.760228,2023-12-07 12:52:39.966894,0 days 00:00:00.206666,68,8,32,120,72,COMPLETE
71,3.643703048333443,2023-12-07 12:52:39.967652,2023-12-07 12:52:40.175926,0 days 00:00:00.208274,68,8,32,120,68,COMPLETE
72,3.2156519540404207,2023-12-07 12:52:40.176808,2023-12-07 12:52:40.384441,0 days 00:00:00.207633,72,4,32,120,68,COMPLETE
73,2.9732769234139167,2023-12-07 12:52:40.385105,2023-12-07 12:52:40.592002,0 days 00:00:00.206897,72,4,32,120,72,COMPLETE
74,2.9732769234139167,2023-12-07 12:52:40.592814,2023-12-07 12:52:40.800579,0 days 00:00:00.207765,72,4,32,120,72,COMPLETE
75,2.9732769234139167,2023-12-07 12:52:40.801373,2023-12-07 12:52:41.009879,0 days 00:00:00.208506,72,4,32,120,72,COMPLETE
76,3.789030993501728,2023-12-07 12:52:41.010698,2023-12-07 12:52:41.218506,0 days 00:00:00.207808,72,8,28,120,72,COMPLETE
77,2.7843273283686996,2023-12-07 12:52:41.219228,2023-12-07 12:52:41.426714,0 days 00:00:00.207486,68,8,20,120,72,COMPLETE
78,0.7487695766006084,2023-12-07 12:52:41.427428,2023-12-07 12:52:41.633352,0 days 00:00:00.205924,72,8,24,96,68,COMPLETE
79,3.0432022303431863,2023-12-07 12:52:41.634085,2023-12-07 12:52:41.840379,0 days 00:00:00.206294,68,12,28,120,64,COMPLETE
80,1.0897604641104413,2023-12-07 12:52:41.841255,2023-12-07 12:52:42.050595,0 days 00:00:00.209340,68,12,28,96,64,COMPLETE
81,4.0211233709903675,2023-12-07 12:52:42.051340,2023-12-07 12:52:42.257050,0 days 00:00:00.205710,72,8,28,120,68,COMPLETE
82,2.501038036847221,2023-12-07 12:52:42.257812,2023-12-07 12:52:42.464093,0 days 00:00:00.206281,68,8,20,120,68,COMPLETE
83,1.9520182444833176,2023-12-07 12:52:42.464816,2023-12-07 12:52:42.672255,0 days 00:00:00.207439,72,12,24,120,64,COMPLETE
84,1.3733616355465759,2023-12-07 12:52:42.672992,2023-12-07 12:52:42.880285,0 days 00:00:00.207293,68,16,28,120,60,COMPLETE
85,0.10350930555067774,2023-12-07 12:52:42.881305,2023-12-07 12:52:43.087291,0 days 00:00:00.205986,64,8,20,72,68,COMPLETE
86,0.7481214240436019,2023-12-07 12:52:43.088116,2023-12-07 12:52:43.296146,0 days 00:00:00.208030,72,12,28,96,64,COMPLETE
87,2.548049029216594,2023-12-07 12:52:43.296918,2023-12-07 12:52:43.503330,0 days 00:00:00.206412,68,4,32,120,72,COMPLETE
88,0.3987831713433539,2023-12-07 12:52:43.504160,2023-12-07 12:52:43.710822,0 days 00:00:00.206662,64,16,12,96,36,COMPLETE
89,3.5458886503342475,2023-12-07 12:52:43.711718,2023-12-07 12:52:43.918568,0 days 00:00:00.206850,68,8,36,120,68,COMPLETE
90,3.2126225324904647,2023-12-07 12:52:43.919317,2023-12-07 12:52:44.127814,0 days 00:00:00.208497,72,8,36,96,68,COMPLETE
91,3.2126225324904647,2023-12-07 12:52:44.128692,2023-12-07 12:52:44.335386,0 days 00:00:00.206694,72,8,36,96,68,COMPLETE
92,3.957381853281025,2023-12-07 12:52:44.336154,2023-12-07 12:52:44.543889,0 days 00:00:00.207735,72,8,36,120,68,COMPLETE
93,3.957381853281025,2023-12-07 12:52:44.544688,2023-12-07 12:52:44.751683,0 days 00:00:00.206995,72,8,36,120,68,COMPLETE
94,2.9732769234139167,2023-12-07 12:52:44.752472,2023-12-07 12:52:44.957957,0 days 00:00:00.205485,72,4,32,120,72,COMPLETE
95,4.047849921764479,2023-12-07 12:52:44.958723,2023-12-07 12:52:45.165467,0 days 00:00:00.206744,72,8,32,120,68,COMPLETE
96,3.643703048333443,2023-12-07 12:52:45.166214,2023-12-07 12:52:45.373365,0 days 00:00:00.207151,68,8,32,120,68,COMPLETE
97,3.3467271669182987,2023-12-07 12:52:45.374148,2023-12-07 12:52:45.581271,0 days 00:00:00.207123,68,8,40,120,72,COMPLETE
98,1.9213429665155417,2023-12-07 12:52:45.582294,2023-12-07 12:52:45.940338,0 days 00:00:00.358044,68,12,28,144,68,COMPLETE
99,2.258040460920851,2023-12-07 12:52:45.941056,2023-12-07 12:52:46.149916,0 days 00:00:00.208860,68,8,24,120,64,COMPLETE
100,2.0723328682238007,2023-12-07 12:52:46.150736,2023-12-07 12:52:46.360292,0 days 00:00:00.209556,72,16,36,120,72,COMPLETE
101,3.3467271669182987,2023-12-07 12:52:46.361001,2023-12-07 12:52:46.570698,0 days 00:00:00.209697,68,8,40,120,72,COMPLETE
102,1.2479221695280254,2023-12-07 12:52:46.571396,2023-12-07 12:52:46.780099,0 days 00:00:00.208703,72,12,40,120,68,COMPLETE
103,1.6031047115307822,2023-12-07 12:52:46.780843,2023-12-07 12:52:46.988794,0 days 00:00:00.207951,68,4,32,144,72,COMPLETE
104,3.9608739174823087,2023-12-07 12:52:46.989538,2023-12-07 12:52:47.199383,0 days 00:00:00.209845,64,8,36,120,68,COMPLETE
105,2.4101446754350335,2023-12-07 12:52:47.200194,2023-12-07 12:52:47.408243,0 days 00:00:00.208049,64,12,36,120,64,COMPLETE
106,2.317601654815396,2023-12-07 12:52:47.408983,2023-12-07 12:52:47.619359,0 days 00:00:00.210376,72,8,28,144,68,COMPLETE
107,2.870310583039057,2023-12-07 12:52:47.620081,2023-12-07 12:52:47.830176,0 days 00:00:00.210095,68,4,32,120,68,COMPLETE
108,-1.088347452871448,2023-12-07 12:52:47.830986,2023-12-07 12:52:48.042002,0 days 00:00:00.211016,8,12,36,120,16,COMPLETE
109,1.837841571150781,2023-12-07 12:52:48.042712,2023-12-07 12:52:48.253743,0 days 00:00:00.211031,24,8,24,144,60,COMPLETE
110,3.048239640115895,2023-12-07 12:52:48.254469,2023-12-07 12:52:48.463346,0 days 00:00:00.208877,72,16,32,96,12,COMPLETE
111,3.7119483025063853,2023-12-07 12:52:48.464099,2023-12-07 12:52:48.674357,0 days 00:00:00.210258,64,8,40,120,72,COMPLETE
112,4.033594717200906,2023-12-07 12:52:48.675151,2023-12-07 12:52:48.883511,0 days 00:00:00.208360,64,4,36,120,72,COMPLETE
113,4.033594717200906,2023-12-07 12:52:48.884239,2023-12-07 12:52:49.093188,0 days 00:00:00.208949,64,4,36,120,72,COMPLETE
114,4.033594717200906,2023-12-07 12:52:49.094189,2023-12-07 12:52:49.302161,0 days 00:00:00.207972,64,4,36,120,72,COMPLETE
115,4.029164398200101,2023-12-07 12:52:49.303228,2023-12-07 12:52:49.513071,0 days 00:00:00.209843,60,4,40,120,72,COMPLETE
116,2.187278016864503,2023-12-07 12:52:49.513901,2023-12-07 12:52:49.739077,0 days 00:00:00.225176,60,4,40,144,72,COMPLETE
117,2.5406346642971043,2023-12-07 12:52:49.739968,2023-12-07 12:52:49.955569,0 days 00:00:00.215601,64,4,40,96,72,COMPLETE
118,3.950289051604482,2023-12-07 12:52:49.956576,2023-12-07 12:52:50.171083,0 days 00:00:00.214507,60,4,36,120,72,COMPLETE
119,3.950289051604482,2023-12-07 12:52:50.171905,2023-12-07 12:52:50.381855,0 days 00:00:00.209950,60,4,36,120,72,COMPLETE
120,2.591713426391899,2023-12-07 12:52:50.382636,2023-12-07 12:52:50.589900,0 days 00:00:00.207264,60,4,36,96,72,COMPLETE
121,3.950289051604482,2023-12-07 12:52:50.590636,2023-12-07 12:52:50.805258,0 days 00:00:00.214622,60,4,36,120,72,COMPLETE
122,3.6909929264760586,2023-12-07 12:52:50.805983,2023-12-07 12:52:51.014206,0 days 00:00:00.208223,56,4,36,120,72,COMPLETE
123,3.950289051604482,2023-12-07 12:52:51.015065,2023-12-07 12:52:51.223967,0 days 00:00:00.208902,60,4,36,120,72,COMPLETE
124,3.950289051604482,2023-12-07 12:52:51.224700,2023-12-07 12:52:51.433660,0 days 00:00:00.208960,60,4,36,120,72,COMPLETE
125,2.187278016864503,2023-12-07 12:52:51.434693,2023-12-07 12:52:51.643297,0 days 00:00:00.208604,60,4,40,144,72,COMPLETE
126,4.226843655618496,2023-12-07 12:52:51.644014,2023-12-07 12:52:51.851532,0 days 00:00:00.207518,56,4,36,120,68,COMPLETE
127,3.703760501858586,2023-12-07 12:52:51.852305,2023-12-07 12:52:52.060672,0 days 00:00:00.208367,56,4,40,120,64,COMPLETE
128,2.650334796290164,2023-12-07 12:52:52.061405,2023-12-07 12:52:52.270328,0 days 00:00:00.208923,64,4,36,144,68,COMPLETE
129,4.163536611444732,2023-12-07 12:52:52.271068,2023-12-07 12:52:52.479102,0 days 00:00:00.208034,60,4,36,96,68,COMPLETE
130,2.8929019194715577,2023-12-07 12:52:52.479877,2023-12-07 12:52:52.690833,0 days 00:00:00.210956,64,4,40,96,64,COMPLETE
131,4.226843655618496,2023-12-07 12:52:52.691600,2023-12-07 12:52:52.899493,0 days 00:00:00.207893,56,4,36,120,68,COMPLETE
132,2.917052945936866,2023-12-07 12:52:52.900416,2023-12-07 12:52:53.112796,0 days 00:00:00.212380,60,4,32,96,68,COMPLETE
133,3.841938964080676,2023-12-07 12:52:53.113560,2023-12-07 12:52:53.320786,0 days 00:00:00.207226,56,8,36,120,68,COMPLETE
134,3.841938964080676,2023-12-07 12:52:53.321520,2023-12-07 12:52:53.529008,0 days 00:00:00.207488,56,8,36,120,68,COMPLETE
135,4.057901658315853,2023-12-07 12:52:53.529826,2023-12-07 12:52:53.743469,0 days 00:00:00.213643,64,4,40,120,64,COMPLETE
136,2.660333939902956,2023-12-07 12:52:53.744258,2023-12-07 12:52:53.954506,0 days 00:00:00.210248,64,4,44,96,64,COMPLETE
137,-0.6826508604009732,2023-12-07 12:52:53.955193,2023-12-07 12:52:54.163473,0 days 00:00:00.208280,64,72,40,120,68,COMPLETE
138,2.4262648206765616,2023-12-07 12:52:54.164347,2023-12-07 12:52:54.388311,0 days 00:00:00.223964,64,8,40,72,64,COMPLETE
139,2.8658503195783593,2023-12-07 12:52:54.389354,2023-12-07 12:52:54.618280,0 days 00:00:00.228926,36,4,32,144,68,COMPLETE
140,3.768702794390562,2023-12-07 12:52:54.619236,2023-12-07 12:52:54.843181,0 days 00:00:00.223945,56,8,40,120,68,COMPLETE
141,3.950289051604482,2023-12-07 12:52:54.844155,2023-12-07 12:52:55.068858,0 days 00:00:00.224703,60,4,36,120,72,COMPLETE
142,4.383801129048291,2023-12-07 12:52:55.069733,2023-12-07 12:52:55.293080,0 days 00:00:00.223347,60,4,36,120,68,COMPLETE
143,4.226843655618496,2023-12-07 12:52:55.293833,2023-12-07 12:52:55.515442,0 days 00:00:00.221609,56,4,36,120,68,COMPLETE
144,2.973575586499393,2023-12-07 12:52:55.516430,2023-12-07 12:52:55.728499,0 days 00:00:00.212069,56,8,32,120,64,COMPLETE
145,2.891502468723346,2023-12-07 12:52:55.729283,2023-12-07 12:52:55.938161,0 days 00:00:00.208878,52,4,32,120,68,COMPLETE
146,2.6801497170869584,2023-12-07 12:52:55.938858,2023-12-07 12:52:56.147184,0 days 00:00:00.208326,64,8,40,96,64,COMPLETE
147,2.2134611306446605,2023-12-07 12:52:56.147957,2023-12-07 12:52:56.358834,0 days 00:00:00.210877,56,12,36,120,68,COMPLETE
148,2.718903579716936,2023-12-07 12:52:56.359769,2023-12-07 12:52:56.578531,0 days 00:00:00.218762,60,4,44,144,28,COMPLETE
149,3.9608739174823087,2023-12-07 12:52:56.579302,2023-12-07 12:52:56.793585,0 days 00:00:00.214283,64,8,36,120,68,COMPLETE
150,1.019258492002058,2023-12-07 12:52:56.794377,2023-12-07 12:52:57.011271,0 days 00:00:00.216894,64,56,32,120,64,COMPLETE
151,4.0517795405908625,2023-12-07 12:52:57.012227,2023-12-07 12:52:57.244883,0 days 00:00:00.232656,60,8,36,120,68,COMPLETE
152,4.383801129048291,2023-12-07 12:52:57.246027,2023-12-07 12:52:57.463171,0 days 00:00:00.217144,60,4,36,120,68,COMPLETE
153,4.424350506325201,2023-12-07 12:52:57.464019,2023-12-07 12:52:57.681411,0 days 00:00:00.217392,60,4,40,120,68,COMPLETE
154,4.2639727766994255,2023-12-07 12:52:57.682200,2023-12-07 12:52:57.903373,0 days 00:00:00.221173,56,4,40,120,68,COMPLETE
155,3.703760501858586,2023-12-07 12:52:57.904478,2023-12-07 12:52:58.123515,0 days 00:00:00.219037,56,4,40,120,64,COMPLETE
156,3.7023593321809423,2023-12-07 12:52:58.124362,2023-12-07 12:52:58.341229,0 days 00:00:00.216867,52,4,44,96,68,COMPLETE
157,3.7681612993198,2023-12-07 12:52:58.342011,2023-12-07 12:52:58.563036,0 days 00:00:00.221025,56,4,40,120,72,COMPLETE
158,3.731898719494727,2023-12-07 12:52:58.564134,2023-12-07 12:52:58.787328,0 days 00:00:00.223194,60,4,40,144,64,COMPLETE
159,4.140668817167323,2023-12-07 12:52:58.788309,2023-12-07 12:52:59.008438,0 days 00:00:00.220129,60,4,44,120,68,COMPLETE
160,4.140668817167323,2023-12-07 12:52:59.009413,2023-12-07 12:52:59.231989,0 days 00:00:00.222576,60,4,44,120,68,COMPLETE
161,3.98877964434128,2023-12-07 12:52:59.233070,2023-12-07 12:52:59.446236,0 days 00:00:00.213166,60,4,48,120,68,COMPLETE
162,3.7529636458978892,2023-12-07 12:52:59.447053,2023-12-07 12:52:59.659946,0 days 00:00:00.212893,60,4,44,120,72,COMPLETE
163,4.06191672478768,2023-12-07 12:52:59.660754,2023-12-07 12:52:59.882790,0 days 00:00:00.222036,56,4,44,120,68,COMPLETE
164,4.06191672478768,2023-12-07 12:52:59.883770,2023-12-07 12:53:00.271456,0 days 00:00:00.387686,56,4,44,120,68,COMPLETE
165,2.6352291311762572,2023-12-07 12:53:00.272270,2023-12-07 12:53:00.484795,0 days 00:00:00.212525,56,4,48,96,64,COMPLETE
166,3.9917764511439686,2023-12-07 12:53:00.485566,2023-12-07 12:53:00.698930,0 days 00:00:00.213364,52,4,44,120,68,COMPLETE
167,4.06191672478768,2023-12-07 12:53:00.699969,2023-12-07 12:53:00.911750,0 days 00:00:00.211781,56,4,44,120,68,COMPLETE
168,1.547214729448904,2023-12-07 12:53:00.912524,2023-12-07 12:53:01.128004,0 days 00:00:00.215480,56,4,44,120,60,COMPLETE
169,1.9646238180362092,2023-12-07 12:53:01.128830,2023-12-07 12:53:01.343235,0 days 00:00:00.214405,56,8,48,120,64,COMPLETE
170,2.4097873554186138,2023-12-07 12:53:01.344061,2023-12-07 12:53:01.556053,0 days 00:00:00.211992,48,4,44,144,44,COMPLETE
171,4.06191672478768,2023-12-07 12:53:01.556843,2023-12-07 12:53:01.770842,0 days 00:00:00.213999,56,4,44,120,68,COMPLETE
172,4.06191672478768,2023-12-07 12:53:01.771624,2023-12-07 12:53:01.985480,0 days 00:00:00.213856,56,4,44,120,68,COMPLETE
173,3.833045084843621,2023-12-07 12:53:01.986240,2023-12-07 12:53:02.201664,0 days 00:00:00.215424,56,4,48,120,68,COMPLETE
174,2.3549522791590753,2023-12-07 12:53:02.202466,2023-12-07 12:53:02.416905,0 days 00:00:00.214439,52,8,44,120,68,COMPLETE
175,3.9917764511439686,2023-12-07 12:53:02.417667,2023-12-07 12:53:02.631611,0 days 00:00:00.213944,52,4,44,120,68,COMPLETE
176,3.5073374555424155,2023-12-07 12:53:02.632471,2023-12-07 12:53:02.847481,0 days 00:00:00.215010,56,4,48,120,64,COMPLETE
177,2.536341518116071,2023-12-07 12:53:02.848298,2023-12-07 12:53:03.061732,0 days 00:00:00.213434,56,8,44,120,68,COMPLETE
178,3.0142536551320895,2023-12-07 12:53:03.062484,2023-12-07 12:53:03.283540,0 days 00:00:00.221056,56,4,52,120,68,COMPLETE
179,2.5788273042192196,2023-12-07 12:53:03.284383,2023-12-07 12:53:03.496147,0 days 00:00:00.211764,60,8,44,96,64,COMPLETE
180,3.706997710950831,2023-12-07 12:53:03.496951,2023-12-07 12:53:03.711638,0 days 00:00:00.214687,52,4,48,144,68,COMPLETE
181,4.424350506325201,2023-12-07 12:53:03.712451,2023-12-07 12:53:03.926255,0 days 00:00:00.213804,60,4,40,120,68,COMPLETE
182,4.140668817167323,2023-12-07 12:53:03.927064,2023-12-07 12:53:04.139948,0 days 00:00:00.212884,60,4,44,120,68,COMPLETE
183,4.140668817167323,2023-12-07 12:53:04.140729,2023-12-07 12:53:04.354592,0 days 00:00:00.213863,60,4,44,120,68,COMPLETE
184,3.871125331955211,2023-12-07 12:53:04.355376,2023-12-07 12:53:04.569662,0 days 00:00:00.214286,60,4,44,120,64,COMPLETE
185,4.06191672478768,2023-12-07 12:53:04.570517,2023-12-07 12:53:04.794727,0 days 00:00:00.224210,56,4,44,120,68,COMPLETE
186,3.833045084843621,2023-12-07 12:53:04.795611,2023-12-07 12:53:05.012461,0 days 00:00:00.216850,56,4,48,120,68,COMPLETE
187,4.06191672478768,2023-12-07 12:53:05.013274,2023-12-07 12:53:05.227098,0 days 00:00:00.213824,56,4,44,120,68,COMPLETE
188,4.140668817167323,2023-12-07 12:53:05.227995,2023-12-07 12:53:05.441072,0 days 00:00:00.213077,60,4,44,120,68,COMPLETE
189,4.140668817167323,2023-12-07 12:53:05.441926,2023-12-07 12:53:05.653428,0 days 00:00:00.211502,60,4,44,120,68,COMPLETE
