number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_OI_window_rank,params_OI_window_rank_MA,params_RV_period,params_RV_window,system_attrs_nsga2:generation,state
27,0.5504568517746289,1.0985288151072483,0.8584735741327242,38.54166666666667,2023-12-05 23:53:58.167624,2023-12-05 23:53:58.374352,0 days 00:00:00.206728,2.9068153161983776,64,8,32,24,24,144,56,0,COMPLETE
28,,,,,2023-12-05 23:53:58.375071,2023-12-05 23:53:58.575693,0 days 00:00:00.200622,2.1444085678836897,4,32,32,20,96,192,64,0,FAIL
29,-0.3031765503825244,0.8918424866282783,-0.804717188681205,33.70786516853933,2023-12-05 23:53:58.576558,2023-12-05 23:53:58.785691,0 days 00:00:00.209133,2.0710513554796686,36,68,188,28,48,144,56,0,COMPLETE
30,-0.3626913886194356,0.8971668039887265,-0.7672525952172463,35.810810810810814,2023-12-05 23:53:58.786397,2023-12-05 23:53:58.991091,0 days 00:00:00.204694,1.622213877401739,52,52,192,28,216,216,28,0,COMPLETE
31,-0.737925613209705,0.8015279339877929,-1.053705101190931,29.838709677419356,2023-12-05 23:53:58.991818,2023-12-05 23:53:59.192645,0 days 00:00:00.200827,1.738808214828732,44,60,196,40,192,24,72,0,COMPLETE
32,,,,,2023-12-05 23:53:59.193442,2023-12-05 23:53:59.396325,0 days 00:00:00.202883,2.235728294244677,4,64,184,12,60,24,16,0,FAIL
33,-2.406938039569683,0.3304938503404587,-1.4502531663077494,38.18181818181819,2023-12-05 23:53:59.397468,2023-12-05 23:53:59.599128,0 days 00:00:00.201660,2.395687166835961,64,72,20,36,84,192,56,0,COMPLETE
34,,,,,2023-12-05 23:53:59.599810,2023-12-05 23:53:59.800168,0 days 00:00:00.200358,2.8423788296442964,4,36,80,32,144,240,32,0,FAIL
35,-0.04516921515675669,0.9739392571510382,-0.2034468124513643,38.2716049382716,2023-12-05 23:53:59.801117,2023-12-05 23:54:00.002666,0 days 00:00:00.201549,2.5778013334548975,28,8,32,44,156,96,28,0,COMPLETE
36,0.6295648921659482,1.1541585615532883,1.0414305162881223,36.53846153846153,2023-12-05 23:54:00.003386,2023-12-05 23:54:00.205714,0 days 00:00:00.202328,2.0722998549934752,28,28,144,44,156,144,56,0,COMPLETE
37,-3.027327265516025,0.6327297608229395,-1.5367313976953787,23.645320197044335,2023-12-05 23:54:00.206491,2023-12-05 23:54:00.408582,0 days 00:00:00.202091,1.7284718567284858,8,28,204,8,180,168,56,0,COMPLETE
38,-0.5706733560671089,0.9106797170229849,-0.7093980731255718,30.434782608695656,2023-12-05 23:54:00.409270,2023-12-05 23:54:00.612909,0 days 00:00:00.203639,2.7465609693419526,12,32,36,24,180,168,48,0,COMPLETE
39,1.5641057275624388,1.328201629360526,3.7546440263166607,36.075949367088604,2023-12-05 23:54:00.613718,2023-12-05 23:54:00.824532,0 days 00:00:00.210814,1.8751016175227577,56,16,84,36,36,48,40,0,COMPLETE
40,-2.2254894309561837,0.6691646379552212,-1.4972622309591597,26.73992673992674,2023-12-05 23:54:00.825245,2023-12-05 23:54:01.028194,0 days 00:00:00.202949,1.5844770875595722,24,40,16,52,156,120,8,0,COMPLETE
41,,,,,2023-12-05 23:54:01.028889,2023-12-05 23:54:01.230012,0 days 00:00:00.201123,2.135748679631967,4,36,92,8,60,240,48,0,FAIL
42,-3.6048113538335365,0.5204983420726309,-1.5748396711224941,28.65853658536585,2023-12-05 23:54:01.230992,2023-12-05 23:54:01.440643,0 days 00:00:00.209651,1.865445817148118,44,32,16,32,84,216,68,0,COMPLETE
43,-1.656499703826498,0.6725477878223636,-1.6598111865503442,28.87700534759358,2023-12-05 23:54:01.441387,2023-12-05 23:54:01.647928,0 days 00:00:00.206541,2.3018945081719258,12,16,20,72,60,72,16,0,COMPLETE
44,-2.2908350492045098,0.5626524261769272,-1.5237213596313277,22.68041237113402,2023-12-05 23:54:01.648657,2023-12-05 23:54:01.859528,0 days 00:00:00.210871,2.528927746833519,36,72,88,36,192,240,64,0,COMPLETE
45,-1.3557064308969053,0.7525884760359021,-1.28730507957673,28.191489361702125,2023-12-05 23:54:01.860234,2023-12-05 23:54:02.067288,0 days 00:00:00.207054,1.647818537618647,44,20,132,12,24,240,24,0,COMPLETE
46,0.9478677113102801,1.175514834794153,2.0152701940887554,33.793103448275865,2023-12-05 23:54:02.068081,2023-12-05 23:54:02.273965,0 days 00:00:00.205884,1.7414683640340036,40,36,212,20,216,216,72,0,COMPLETE
47,0.9863566330326425,1.3145119664168814,1.4968307459362558,47.94520547945205,2023-12-05 23:54:02.274687,2023-12-05 23:54:02.479359,0 days 00:00:00.204672,2.7685139087971793,52,48,136,44,132,48,24,0,COMPLETE
48,,,,,2023-12-05 23:54:02.480344,2023-12-05 23:54:02.685397,0 days 00:00:00.205053,2.5354004143758266,48,28,28,68,72,192,28,0,FAIL
49,1.718961906352512,1.2980752697581672,4.479548321566997,33.33333333333333,2023-12-05 23:54:02.686482,2023-12-05 23:54:02.888947,0 days 00:00:00.202465,1.7699275297677504,32,4,124,20,216,168,44,0,COMPLETE
50,-1.4106552606588871,0.7756434337690014,-1.5346840339616246,26.639344262295083,2023-12-05 23:54:02.889720,2023-12-05 23:54:03.089818,0 days 00:00:00.200098,1.961150218382193,20,52,72,48,156,96,64,0,COMPLETE
51,-0.5723303687253942,0.8526985551196417,-1.0751743337067414,25.806451612903224,2023-12-05 23:54:03.090482,2023-12-05 23:54:03.290510,0 days 00:00:00.200028,2.0551978642349384,48,56,104,60,192,240,52,0,COMPLETE
52,1.3642755956057862,1.455045047003783,4.312409755012733,49.0,2023-12-05 23:54:03.291183,2023-12-05 23:54:03.488521,0 days 00:00:00.197338,2.095051337347122,24,20,176,32,192,24,12,0,COMPLETE
53,-2.21210764352449,0.6575464763773402,-1.3738719744465149,23.232323232323232,2023-12-05 23:54:03.489161,2023-12-05 23:54:03.689851,0 days 00:00:00.200690,1.5493872292415876,12,72,48,44,156,96,20,0,COMPLETE
54,1.2789908078573076,1.2900713521505598,3.0178628376365517,38.88888888888889,2023-12-05 23:54:03.690597,2023-12-05 23:54:03.888930,0 days 00:00:00.198333,1.996667059830947,52,20,188,12,156,120,56,0,COMPLETE
55,0.7983299978250409,1.2364279261891926,1.14544061578159,41.86046511627907,2023-12-05 23:54:03.889655,2023-12-05 23:54:04.088670,0 days 00:00:00.199015,2.086254226828143,28,60,216,32,108,192,20,0,COMPLETE
56,0.2401999487031716,1.044573538697629,0.2331345015841731,36.904761904761905,2023-12-05 23:54:04.089395,2023-12-05 23:54:04.287216,0 days 00:00:00.197821,2.2642927413884153,40,40,120,56,84,144,72,0,COMPLETE
57,0.5362203101697284,1.1039451221293743,0.6899837915926637,29.677419354838708,2023-12-05 23:54:04.288051,2023-12-05 23:54:04.498842,0 days 00:00:00.210791,1.8428091112536327,52,28,124,20,12,168,32,1,COMPLETE
58,0.5012413939027303,1.054158656556425,0.6838787048201584,31.506849315068493,2023-12-05 23:54:04.499543,2023-12-05 23:54:04.699812,0 days 00:00:00.200269,1.7699275297677504,32,4,124,32,96,144,32,1,COMPLETE
59,2.483150529379728,2.691413140747307,9.296916492494965,41.30434782608695,2023-12-05 23:54:04.700538,2023-12-05 23:54:04.900653,0 days 00:00:00.200115,2.7348814902385596,68,60,128,36,192,24,72,1,COMPLETE
60,0.2034141071448738,1.0221830945069441,0.10941823087161107,42.05607476635514,2023-12-05 23:54:04.901376,2023-12-05 23:54:05.103116,0 days 00:00:00.201740,2.3723465300398536,60,8,64,60,12,144,24,1,COMPLETE
61,0.6043368801984843,1.1406377381245563,0.9618421183492835,40.50632911392405,2023-12-05 23:54:05.103949,2023-12-05 23:54:05.316662,0 days 00:00:00.212713,2.800590049162424,68,8,156,72,12,168,28,1,COMPLETE
62,-1.251670781234557,0.8366941187383332,-0.9671358052883712,36.18421052631579,2023-12-05 23:54:05.317644,2023-12-05 23:54:05.527304,0 days 00:00:00.209660,2.3723465300398536,32,8,48,72,12,192,20,1,COMPLETE
63,1.4218145840131293,1.3798152019504708,3.6899720563036467,40.625,2023-12-05 23:54:05.528058,2023-12-05 23:54:05.727228,0 days 00:00:00.199170,2.824931893905129,64,8,116,40,60,96,32,1,COMPLETE
64,1.2176336710337443,1.3811720645194303,2.213510316471058,32.432432432432435,2023-12-05 23:54:05.727887,2023-12-05 23:54:05.927318,0 days 00:00:00.199431,2.2642927413884153,40,28,120,56,84,48,72,1,COMPLETE
65,1.795292485303747,1.7417816390700072,6.427037671687272,39.50617283950617,2023-12-05 23:54:05.928093,2023-12-05 23:54:06.126812,0 days 00:00:00.198719,2.095051337347122,28,72,176,32,144,24,12,1,COMPLETE
66,1.403934231918895,1.4835101367701353,3.1967723426387797,40.909090909090914,2023-12-05 23:54:06.127512,2023-12-05 23:54:06.327260,0 days 00:00:00.199748,2.800590049162424,40,64,156,60,60,144,32,1,COMPLETE
67,1.3774389798201416,1.3219717560694826,3.375286342742005,38.405797101449274,2023-12-05 23:54:06.327885,2023-12-05 23:54:06.527895,0 days 00:00:00.200010,1.996667059830947,52,28,188,24,204,120,56,1,COMPLETE
68,1.956728277782088,1.5519015238263685,5.22907161488468,40.0,2023-12-05 23:54:06.528691,2023-12-05 23:54:06.727159,0 days 00:00:00.198468,2.6865291176194868,52,4,124,20,216,144,44,1,COMPLETE
69,-0.32876416563133687,0.892582026438271,-0.4519910333986123,39.0,2023-12-05 23:54:06.727853,2023-12-05 23:54:06.929612,0 days 00:00:00.201759,2.6865291176194868,64,8,68,60,108,144,24,1,COMPLETE
70,0.4079689555478881,1.0743631301801202,0.4103308194709788,37.0,2023-12-05 23:54:06.930355,2023-12-05 23:54:07.133516,0 days 00:00:00.203161,2.7685139087971793,12,48,136,44,60,48,24,1,COMPLETE
