number,value,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window,state
43,2.193551951555239,2023-12-07 13:34:41.316333,2023-12-07 13:34:41.525643,0 days 00:00:00.209310,44,24,60,192,28,COMPLETE
44,2.1325629252578073,2023-12-07 13:34:41.526418,2023-12-07 13:34:41.735328,0 days 00:00:00.208910,36,28,44,144,24,COMPLETE
45,2.2366996327449025,2023-12-07 13:34:41.736282,2023-12-07 13:34:41.944237,0 days 00:00:00.207955,60,20,56,168,20,COMPLETE
46,2.670408562018889,2023-12-07 13:34:41.945162,2023-12-07 13:34:42.154189,0 days 00:00:00.209027,44,24,48,144,28,COMPLETE
47,2.661940789356083,2023-12-07 13:34:42.154959,2023-12-07 13:34:42.363379,0 days 00:00:00.208420,52,24,48,144,28,COMPLETE
48,0.12550278008154822,2023-12-07 13:34:42.364137,2023-12-07 13:34:42.571419,0 days 00:00:00.207282,64,20,40,144,36,COMPLETE
49,-0.074470825244578,2023-12-07 13:34:42.572242,2023-12-07 13:34:42.779236,0 days 00:00:00.206994,52,8,48,168,24,COMPLETE
50,0.4388128796798224,2023-12-07 13:34:42.780031,2023-12-07 13:34:42.988295,0 days 00:00:00.208264,60,68,44,192,32,COMPLETE
51,2.670408562018889,2023-12-07 13:34:42.989065,2023-12-07 13:34:43.197156,0 days 00:00:00.208091,44,24,48,144,28,COMPLETE
52,1.3799550042025537,2023-12-07 13:34:43.197959,2023-12-07 13:34:43.406029,0 days 00:00:00.208070,52,24,36,144,24,COMPLETE
53,1.4832482049799454,2023-12-07 13:34:43.406836,2023-12-07 13:34:43.613438,0 days 00:00:00.206602,48,32,48,168,40,COMPLETE
54,1.2659702731380666,2023-12-07 13:34:43.614184,2023-12-07 13:34:43.820158,0 days 00:00:00.205974,56,20,44,144,28,COMPLETE
55,0.7088774180841676,2023-12-07 13:34:43.820880,2023-12-07 13:34:44.024599,0 days 00:00:00.203719,44,20,32,96,20,COMPLETE
56,1.8428900085481414,2023-12-07 13:34:44.025322,2023-12-07 13:34:44.232414,0 days 00:00:00.207092,48,28,40,168,36,COMPLETE
57,1.7578324519298494,2023-12-07 13:34:44.233203,2023-12-07 13:34:44.441317,0 days 00:00:00.208114,52,24,56,216,44,COMPLETE
58,1.53376266072525,2023-12-07 13:34:44.442073,2023-12-07 13:34:44.648351,0 days 00:00:00.206278,44,32,20,144,24,COMPLETE
59,1.9437040156765062,2023-12-07 13:34:44.649073,2023-12-07 13:34:44.853336,0 days 00:00:00.204263,36,16,48,144,16,COMPLETE
60,0.9334672823575384,2023-12-07 13:34:44.854111,2023-12-07 13:34:45.062801,0 days 00:00:00.208690,56,40,52,168,32,COMPLETE
61,2.9743711891659506,2023-12-07 13:34:45.063645,2023-12-07 13:34:45.269997,0 days 00:00:00.206352,44,24,56,120,28,COMPLETE
62,2.45548592903118,2023-12-07 13:34:45.270797,2023-12-07 13:34:45.478867,0 days 00:00:00.208070,48,28,56,120,28,COMPLETE
63,3.1076437045707,2023-12-07 13:34:45.479694,2023-12-07 13:34:45.684952,0 days 00:00:00.205258,40,24,48,96,20,COMPLETE
64,1.9065416040336738,2023-12-07 13:34:45.685863,2023-12-07 13:34:45.895596,0 days 00:00:00.209733,40,12,52,96,20,COMPLETE
65,3.1003085296185615,2023-12-07 13:34:45.896383,2023-12-07 13:34:46.103354,0 days 00:00:00.206971,40,20,56,96,16,COMPLETE
